hijab	kudung
ibumu	mbokmu
menarik	narik
penegak	panegak
direbut	di saut
perdana	ndisek
alasan	alesan
sisi	sisih
tujuan	arahe
segalanya	sak kabehe
mengguncang	ngguncang
tentara	tentara
pedas	pedhes
tuan	kanjeng
panggung	panggung
ketinggian	kedhuwuren
penerjemah	penerjemah
mangsa	mongso
majalah	majaa
pecah	pecah
susah	angel
ponsel	ponsel
terjangkau	nyandak
primitif	primitif
baunya	ambune
wajahnya	rupone
bertambah	mundak
airnya	banyune
tahi	tai
setinggi	seduwur
membiarkan	ngejarkke
memperbaiki	ngapii
ular	ulo
sampurna	sempurno
kutukan	ngipat-ipati
basuh	elap
hanya	mung
koridor	koridor
sungai	kali
pandangan	pandemi
bagi	mbagi
negaranya	negorone
ksatria	ksatria
seminggu	sak minggu
memilikinya	nduweni
alergi	alergi
hukuman	hukuman
sebagaimana	sakpiyene
panas	panas
memainkan	ndolani
menara	menoro
reaktor	reaktor
mengandung	bayen
menghalau	ngalangi
awal	wiwit
memotong	ngetok
nyala	murup
amis	ames
rela	lilo
pulpen	pulpen
siaran	siaran
lap	lap
penginapan	panginepan
ditolong	di tulung
sekop	cetok
kuliah	kuliah
pilihan	pilian
dna	dna
pandang	ndelok
dinasti	kerajaan
transparan	bening
harimau	macan
naskahnya	pronoto
cermin	koco
nagara	negoro
supaya	ben
orgasme	orgasme
buang	guwak
waktu	moso
darahnya	getihe
abuan	awunen
bertanda	pertondo
taruhan	totohan
lebat	deres
berhadapan	ngarep-ngarepan
apabila	yen
sekolahnya	sekolahe
iblis	demit
aksen	logat
mendaftarkan	ndaftarke
wahyu	wahyu
mendengarkan	ngerungokke
raksasa	roksoso
tampan	bagus
jatuh	tibo
turun	ndronjong
pertengkaran	tukaran
kemarin	wingi
kuahnya	duduhe
radio	radio
menantu	mantune
orangtua	tiyang sepuh
kapal	kapal
cetakan	citakan
terbaca	kewoco
lem	lem
desa	deso
mengungsi	ngungsi
urutan	urutan
mengenalkan	ngenalke
gempa	lindu
sembur	moncrot
meninggalnya	ninggale
kali	ping
kemampuan	kabisan
putra	putra
miring	menceng
ada	eneng
peti	peti
teri	teri
abang	mas
studi	studi
tangkap	cekel
nyonya	kanjeng
mungkin	paleng
etika	toto kromo
sejalan	sedalan
koordinat	koordinat
penenang	panentrem
pembalap	pembalap
berikutnya	bar e
belok	menggok
duapuluh	rongpuloh
meletusnya	njebluke
melingkar	nglungker
aba aba	obo-obo
manuver	manuver
sandera	sandera
situs	situs
bersisik	sisiken
sensasi	rasa
abu-abu	abu-abu
kakinya	sikile
tulisan	seratan
seiring	sak iring
perdagangan	perdagangan
meyakinkan	ngeyakinke
cucian	umbahan
dekat	cedek
jual	dol
semalam	sewengi
tahanan	tahanan
dagingnya	daginge
membela	mbelo
melewati	ngliwati
karangan	karangan
kekayaannya	bondone
kandungan	kandungan
ranjau	ranjau
utama	utomo
tingkah	polah
dua	loro
sepenuhnya	sekabehane
pepatah	paribasan
kekasih	gendhakan
balapan	balapan
duduk	lungguh
bekas	tilak
indah	apik
pesan	pesan
veteran	veteran
pribumi	pribumi
siap	rampung
rekannya	koncone
maksudku	karepku
percayalah	percoyoo
menampakkan	ngetokke
nakal	mbandel
menginjak	midak
jumpa	pethuk
amatir	amatir
kebangkitan	kebangkitan
labu	waluh
abadi	langeng
cetak	cithak
ratus	atus
menyelam	ngelangi
semuanya	kabehane
selang	slang
kekuatan	kekuwatan
malang	mesakke
menyembunyikan	ndelekke
membelai	elus-elus
laci	laci
penjualan	dodolan
pembersihan	ngresii
yah	yah
puisi	geguritan
duku	langsep
respon	tanggepan
mengucapkan	ngucapno
tumpul	kethul
selera	rasa
menanjak	munggah
senyum	esem
makanan	suguhan
pencipta	sing nggawe
serigala	serigala
tol	tol
kain	kain
diperlihatkan	di delokne
mencintaimu	nresnani koe
taat	nurut
selatan	sisih kidul
angka	ongko
keju	keju
l	l
lagu	tembang
mencegah	nyegah
tertangkap	ketangkap
pedang	pedang
dari	seko
adat	tradisi
biara	pecinan
pengantin	manten
termuda	enom
tampaknya	ketok e
mengusir	ngusir
membunuhmu	mateni koe
tersimpan	kesimpen
tokok	tutok
bahagia	seneng
menempati	manggoni
banyak	mblerah
rimba	alas
kembalikan	balek ke
pesta	pesta
gantungan	gantolan
menyelesaikan	ngerampungne
terigu	tepung
dewan	dewan
samudra	segoro
keinginan	kekajengan
tertua	paling tuek
cerita	crita
langka	longko
cucunya	putune
terbang	mebur
aduk	udek
denganmu	bareng
berbunyi	muni
masih	isek
emas	emas
cewek	wedok
rumah	dalem
jiwanya	jowone
tutup	tutup
payudara	tetek
tarian	jogedan
doa	dungo
puasa	poso
cacing	cacing
kencing	toyan
seperempat	seprapat
sakit	lara
melancip	ngeruncing
kancing	benik
pucat	pucet
benar	tenan
kemudi	lakok
sukarelawan	sukarelawan
lidah	ilat
selama	nganti
kandang	kandang
permainan	dolanan
alarm	weker
bentuk	rupo
kardinal	kardinal
harganya	regone
perahu	prau
kota	kutha
dianggap	dianggep
gelap	peteng
tangga	tonggo
museum	museum
diduduki	di lungguhi
tikus	tikus
topik	omongan
goresan	besetan
pemeran	lakon
semoga	mugi
banyaknya	akehe
berbuat	nglakoni
potret	potret
kaget	kaget
benua	buwana
terpisahkan	kepisah
melempar	nguncal
rancangan	rancangan
tiup	sebul
betina	wadon
gula	gendhis
drama	sandiworo
acara	kenduri
meminjam	njileh
maharatu	mohoratu
mempergunakan	nggunakke
mengirim	ngirem
acar	acar
pub	ngeseng
parah	nemen
muda	enom
istana	keraton
baki	beki
peternakan	peternakan
pertama	ndisik
tiang	cagak
almarhum	mendiang
bawah	ngisor
pasca	bar
lapis	rangkep
bumi	bumi
jembar	luas
tersendiri	dewean
tua	tuo
ketenaran	ketenaran
dingin	adem
seninya	seni ne
turun	medun
memanasi	nget
pangkalan	pangkalan
pengguna	penggawe
meditasi	semedi
rangking	rengking
tali	tali
alatnya	alate
lampu	lampu
pelatihan	pelatian
usia	usia
labirin	labirin
pemikiran	pemikiran
bercahaya	nylorot
suami	simah
sanggup	iso
ragi	ragi
memperlihatkan	ndelokke
bunganya	kembange
tulang	belung
gorila	gorila
mendatangkan	nekakke
wangi	wangi
independen	independen
mengamalkan	ngamalke
balut	buntel
hentikan	ndeg
makanan	dhaharan
mata	paningal
menimba	nimbo
menginginkan	ngarepke
adatnya	adate
menetas	netes
desa	dhusun
ibuk	mamak
reuni	reuni
adapula	enenge 
sahabat	konco
bengkel	bengkel
peneliti	peneliti
melamakan	nyuwen-nyuweni
pertengkaran	gelut
terjadi	daden
lunak	jemek
tanam	nandur
kedelapan	ke wolu
ibumu	emak mu
kediaman	panggonan
bocah	arek
semen	semen
arloji	jam tangan
menyalahi	nyalahi
bertemu	pethuk
pinggir	pinggir
seberang	tengen
wajan	wajan
bermalam	mlanjar
perairan	perairan
analisa	analisa
naiknya	numpak e
berbagi	mbagi
batas	bates
perayaan	slametan
pembangkit	pembangkit
ampun	sepurane
sedikit	sitik
takdir	tekdir
layar	layar
tumbuhan	tanduran
dukun	dukun
dijatuhi	di tibani
bakal	bakal
basuh	wisuh
cinta	tresno
menelpon	ngebel
mendesak	ndesak
sekaligus	barengan
pesan	wekas
biji	wiji
kesatria	satria
menghalangi	ngalangi
alkohol	arak
mendukung	ndukung
keluarnya	metune
rahang	rahang
alasannya	alesane
kendali	kedhangsul
perban	perban
dukun	dhukun
terbagus	paling apik
menyembah	nyembah
acara	acara
putri	putri
wisata	wisata
surat	layang
bulunya	wulune
gulat	gelut
meletus	njeblug
diam	meneng
zaman	jaman
got	got
mendampingi	nderekke
persekutuan	perkumpulan
keponakan	keponakan
diajari	di ajari
pemainnya	lakone
gantung	nggandul
farmasi	farmasi
jati	jatos
fakta	fakta
pendekar	pendekar
berita	warta
memenuhi	ngebaki
ayahmu	bapakmu
seberapa	sepiro
seragam	seragam
searah	searah
bakwan	bakwan
sudah	uwes
mengurus	ngurus
berbintang	lintangen
menirukan	birukke
beratap	atepan
baju	sandhangan
menciptakan	nyiptakke
dahulu	ndisek
tumpukan	tumpukan
merasa	ngeroso
bunda	ibuk
zamannya	mosone
jelek	elek
abangnya	kakange
denganmu	karo sampean
kartel	kartel
pria	lanang
air	banyu
segera	ndang
boneka	golek
menanam	nandur
digunakan	di enggo
baku	baku
mencair	nyair
jahat	olo
bapaknya	romone
pohon	pokok
permen	permen
bertumpuk	numpok
absolut	mutlak
berbentuk	mbentuk
marine	warase
suap	dulang
oven	oven
tegas	teges
kejujuran	kejujuran
benua	bawana
angkat	junjung
berikan	ngewehi
penampakan	sesosok
senyuman	ngguyu
tampan	ngganteng
tersambung	nyambung
rumahnya	omahe
biarkan	jarne
tuhan	gusti
perwira	perwira
apit	gepit
pasokan	pasokan
adakan	enekke
tong	genuk
gulai	jangan
islam	islam
monyet	ketek
top	nduwur
dengannya	karo dek'e
sungguh	tenanan
mengambil	jupuk
misa	misa
federasi	federisasi
pernah	tau
terjual	ke dol
molekul	molekul
saingan	saingan
cukup	cukop
digigit	di cokot
budha	budha
semesta	semesta
godaan	gudoan
biaya	biaya
sarapan	sarapan
bola	bal
masak	masak
tiarap	ndlosor
minggir	semingkir
komersial	iklan
daunnya	godonge
kebencian	gething
tai	telek
nak	cah
sini	rene
kode	kode
memperluas	ngambakke
bungkuk	wungkuk
hutan	alas
paku	paku
ramah	someh
minuman	umbean
kebun	kebon
komedi	lawakan
janda	randha
anggotanya	bolone
kunci	kunci
tank	tangki
kucing	kucing
suhu	hawa
pengangguran	pengangguran
ilmunya	ngelmune
berkeluarga	omah-omah
biar	ben
upacara	upacara
kala	kolo
berkolaborasi	bebarengan
perkawinan	kondangan
gaya	nggaya
ceria	sumringah
ginjal	ginjel
abu	awu
rimbun	rindang
halo	halo
kerangka	kerongko
pahit	pait
ketiak	kelek
mematikan	mateni
turunkan	dunke
membantu	nulungi
menanamkan	nandurke
ingin	karep
bencana	pageblug
jemur	pepe
kepiting	yu-yu
mengaku	ngaku
jari	driji
terjadilah	dadilah
dijual	di dol
pengantaran	ngeterke
nyonya	ndoro
umpamanya	umpomone
diikuti	di eloni
mengandalkan	ngandelke
remaja	enom
pesawat	pesawat
pita	pita
takkan	ora mungkin
kewenangan	wewenang
terkadang	kadang
bagai	koyo
menuangkan	ngesokke
kemiri	miri
dahulunya	ndek mben
begitulah	ngonolah
kentut	ngentut
tang	tang
putih	putih
kunjungan	kunjungan
ovulasi	kenthu
kerasukan	ndadi
membawa	ngasta
terjerat	ke jerat
perbatasan	wates
semua	kabeh
kulkas	kulkas
ilmu	ngelmu
menjerat	njerat
benci	serik
tantangan	tantangan
ijo	ijo
terpantau	kedelok
palu	martil
rumor	rumor
turunan	medunan
surga	swarga
bertanya	takon
omongan	tuturan
peralatan	perkakas
mati	ninggal
mamaknya	embok'e
lurus	jejeg
betina	wedok
putaran	pusingan
pengaturan	panatanan
pasir	gesik
minggu	minggu
laku	payu
terpaksa	kepekso
menyanyikan	nembangke
penyelam	penyelam
dimasukkan	di lebokne
seusai	bar
kapalnya	kapale
kehilangan	kelangan
siram	guyur
maling	maling
dada	dodo
pagar	pager
jarak	jarak
berdirinya	ngadeke
bius	mbius
topi	kupluk
pemilik	seng ndue
memutuskan	mutuske
sedunia	sak dunyo
putrinya	putrine
terjangkau	kecandak
sembab	bengep
hari	dinten
ucapan	kondo
tabungan	celengan
keberanian	kepurunan
tunjangan	tunjangan
tomat	tomat
menyempatkan	nyempetke
tempur	tempur
alamat	nggon
talam	tampah
didalamnya	nang jerone
undangan	undangan
nasihat	wejangan
semut	semot
laporan	laporan
jam	jam
belati	lading
pendek	cendak
ceritanya	ceritone
ibuku	emakku
istri	bojo
para	para
terminal	terminal
tidak	ora
gas	gas
takdir	takdir
membusuk	mbosok
sup	sop
terima	tompo
loteng	loteng
semprotan	semprotan
gerobak	gerobak
rahasia	rahasia
ganti	ijol
kepalanya	endase
majulah	majuo
pembacanya	pranotone
parasit	parasit
sebentar	sek
simbol	simbol
papat	empat
tumpuan	sangganan
mengusulkan	ngajukne
suami	garwa
mendorong	nyurong
wilayah	ancak
tulung	tulong
saudara	sederek
arahan	panuntun
terlilit	kelilit
