indonesian,sundanese
lbu,ema
lbu,indung
lbu,mamah
lebah,tawon
lebar,rubak
lebih,leuwih
ledakan,ledakan
leher,beuheung
lelah,capé
lelaki,lalaki
lelaki,pameget
lelucon,bobodoran
lelucon,hereuy
lem,lã©m
lemah,leuleus
lemari,lomari
lembar,kebet
lembar,lembar
lembut,halus
lemparan,balã©dogan
lengan,leungeun
lengan,panangan
lengkap,kumplit
letnan,letnan
libur,liren
liburan,liburan
lihat,ningal
lihat,tempo
lihat,tenjo
lihatlah,tingali
lingkaran,bunderan
lintasan,lintasan
listrik,listrik
lobi,lobi
logam,kencring
logam,logam
lokasi,enggon
lokasi,tempat
lomba,balap
lonceng,loncã©ng
lorong,gang
lorong,lurung
luas,lega
lubang,liang
luka,raheut
lunak,biyã©
lunak,emoy
lupa,hilap
lupa,poho
lupakan,hilapkeun
lupakan,pohokeun
lurus,lempeng
maaf,hampura
maaf,hapunten
maafkan,hapuntenna
mabuk,mabok
macan,maung
madu,madu
magang,magang
mahasiswa,mahasiswa
mahkota,makuta
mainan,amengan
mainan,cocooan
mainan,kaulinan
majalah,jilid
makan,dahar
makan,tuang
makanan,kadaharan
makanan,katuangan
makanya,matakna
makhluk,makhluk
makna,makna
maksud,maksad
maksudnya,maksadna
malaikat,malaekat
malam,peuting
malam,wengi
malamnya,peutingna
malu,era
malu,isin
mama,ema
mama,ibu
mama,indung
mampu,sanggup
mana,mana
manajemen,manajemen
mandi,ibak
manfaat,mangpaat
mangkok,mangkok
mangkuk,mangkok
manis,amis
mantan,tilas
mantra,mantra
manusia,jalma
manusia,jalmi
manusia,manusa
marah,ambek
marinir,marinir
markas,markas
masa,jaman
masa,mangsa
masak,masak
masalah,masalah
masehi,masehi
masjid,masjid
masuk,asup
masukan,asupan
masukkan,asupkeun
masuknya,asupna
masyarakat,balarea
masyarakat,masarakat
mata,panon
mata,soca
matahari,panonpoe
matang,asak
matanya,panonna
matematika,matã¨matika
mati,paeh
mau,daék
mau,hayang
mau,hoyong
mayat,layon
mayat,mayit
mayor,mayor
medali,medali
medan,enggon
medan,mã©dan
media,mã©dia
meja,meja
mekanik,mã©kanik
melatih,ngajar
melatih,ngalatih
memakai,maké
memakainya,makéna
memakan,ngadahar
memakannya,ngadaharna
membakar,ngabeuleum
membalas,ngabales
membangun,ngabangun
membantu,ngabantuan
membantumu,mantuan manéh
membatalkan,ngabatalkeun
membawa,mawa
membayar,mayar
membebaskan,ngabebaskeun
membela,ngabéla
membeli,meuli
membelokkan,melokeun
membelokkan,mengkolkeun
membenarkan,ngalereskeun
membentuk,nyieun
memberi,bikeun
memberi,mã©rã©
memberikan,dibikeun
memberitahu,mã©rã© nyaho
membersihkan,bebersih
membesar,ngabadagan
membunuh,ngarogahala
membunuhmu,ngarogahala
membunuhnya,maehan
memburu,moro
membutuhkan,meryogikeun
memegang,nyekelan
memelihara,ngajaga
memeluk,nangkeup
memenangi,meunang
memenangkan,meunangkeun
memencar,paburencay
memencarkan,paburencay
mementingkan,ngagantelkeun
memenuhi,minuhan
memerangi,gelut
memerankan,kalakuan
memeriksa,cék
memeriksa,marios
memerintah,nitah
memerlukan,meryogikeun
memori,kaã¨mutan
memori,memori
memukul,nakol
memukul,nenggeul
memukul,ngababuk
memulai,ngamimitian
memulai,ngawitan
menafsirkan,ngahartikeun
menafsirkan,ngahartoskeun
menaikkan,naekeun
menamakan,ngaranan
menamatkan,nganggeuskeun
menambah,nambih
menambahkan,nambihkeun
menanam,melak
menang,meunang
menangis, ceurik
menangkap,newak
menantu,minantu
menantunya,minantuna
menanyakan,naroskeun
menara,menara
menarik,ngadudut
menatap,neuteup
menawarkan,naswiskeun
mencabut,nyabut
mencaduk,ngaduk
mencair,ngalembereh
mencalonkan,nyalonkeun
mencampur,nyampur
mencampurkan,nyampurkeun
mencanangkan,nyatakeun
mencangkul,macul
mencapai,ngahontal
mencari,milarian
mencari,neangan
mencarikan,ngancurkeun
mencarinya,néangan
mencatat,nyatet
mencatatkan,nyatekeun
mencegah,nyegah
mencerdaskan,ngadidik
menceritakan,ngabejaan
menceritakan,nyaritakeun
mencerna,nyerna
mencetak,nyitak
mencintai,cinta
mencintaimu,bogoh ka anjeun
menciptakan,nyiptakeun
mencium,nyium
mencoba,nyobaan
mencuci,nyeuseuh
mencukup,cekap
mencukupi,cekap
mencukur,nyukur
mencuri,maok
mendaftar,ngadaptar
mendaftarkan,ngadapkeun
mendaki,naek
mendalami,ngajalajah
mendali,medali
mendampingi,ngiringan
mendanai,ngabiayaan
mendapat,meunang
mendapati,ngengingkeun
mendapatkan,meunangkeun
mendapatkannya,ngameunangkeun
mendasarinya,ngadasarkeun
mendatang,datang
mendatangi,datang ka
mendatangkan,mawa
mendefinisikan,nangtukeun
mendekam,ngalangkang
mendekat,ngadeukeutan
mendeklarasikan,nyatakeun
mendendangkan,nganyanyikeun
mendengar,nagdangu
mendengarkan,ngadangukeun
mendengarkan,ngadengekeun
mendengarkan,ngupikeun
mendengarnya,ngadangu eta
mendengarnya,ngadengekeun eta
mendengarnya,ngupingkeun eta
menderita,sangsara
mendesak,ngajurung
mendesak,pangjurung
mendeskripsikan,ngajentrekeun
mendeteksi,ngadeteksi
mendiami,nyicingan
mendidih,ngagolak
mendidik,ngadidik
mending,leuwih alus
mendingin,tenang
mendirikan,ngadirikeun
mendominasi,ngadominasi
mendorong,ngadorong
mendorongnya,nyorong eta
mendua,ngadua
menduduki,ngadiukan
mendudukkan,nyicingkeun
menduga,nebak
mendukung,ngadukung
mendukung,ngarojong
menebak,nebak
menebus,nebus
menekankan,nekenkeun
menelepon,nelepon
meneliti,nalungtik
menelpon,nelepon
menembak,némbak
menembus,nembus
menempati,nempatan
menempatkan,nempaketkeun
menempelkan,nempelkeun
menemui,manggihan
menemui,mendakan
menemukan,manggihan
menemukan,mendakan
menemukannya,manggihan eta 
menemukannya,mendakan eta
menentukan,nangtukeun
menenun,ninun
menerangi,nyaangan
menerangkan,ngajelaskeun
menerima,nampi
menerima,narima
menerjemahkan,narjamahkeun
meneruskan,neraskeun
meneruskan,ngalajengkeun
meneruskan,nuluykeun
menetap,cicing
menetapkan,muguhkeun
menetralkan,netralkeun
menewaskan,maehan
mengabadikan,ngalanggengkeun
mengabdi,ngabakti
mengadakan,ngayakeun
mengadopsi,ngadopsi
mengadopsi,ngukut
mengadu,ngadukeun
mengagumi,muji
mengajak,ngajang
mengajak,ngarojong
mengajar,ngajarkeun
mengajarkan,ngajarkeun
mengaji,ngaos
mengajukan,ngalebetkeun
mengakibatkan,ngakibatkeun
mengaku,rumaos
mengakui,rumaos
mengalahkan,ngelehkeun
mengalami,ngalaman
mengalihkan,mindahkeun
mengalihkan,ngalihkeun
mengalir,ngalir
mengamankan,ngamankeun
mengambang,ngambang
mengambil,mawa
mengambil,nyandak
mengambilnya,mawa eta
mengambilnya,nyandak eta
menganalisis,nganalisis
mengancam,ngancam
mengandalkan,gumantung kana
mengandung,ngandung
mengandungi,ngandung
mengangguk,unggeuk
mengangkat,ngangkat
mengangkatnya,ngangkat eta
mengangkut,ngangkut
menganjurkan,nyarankeun
mengantar,ngajajap
mengantar,nganter
mengantarkan,ngajajapkeun
mengantarkan,nganteurkeun
mengantarkannya,ngajajapkeun eta
mengantarkannya,nganterukeun eta
menganyam,ninun
mengapa,naha
mengarah,menerkeun
mengarah,ngarahkeun
mengarahkan,menerkeun
mengarahkan,ngarahkeun
mengasuh,ngasuh
mengatakan,ngomong
mengatakan,nyarios
mengatakannya,ngomongkeun
mengatakannya,nyarioskeun
mengatur,ngatur
mengawali,ngamimitian
mengawali,ngawalan
mengawasi,ngawaskeun
mengebom,ngabom
mengecam,ngahukum
mengecil,ngaleutikan
mengejar,ngudag
mengeksekusi,ngaéksekusi
mengelabui,nutupan kabohongan
mengelakkan,ngajauhan
mengelilingi,ngurilingan
mengelola,ngatur
mengelompokkan,ngelompokeun
mengeluarkan,ngaluarkeun
mengeluh,ngahuleng
mengemban,mawa
mengembara,ngumbara
mengenai,ngeunaan
mengenal,ngawanohkeun
mengenyam,gaduh
mengerikan,pikareueuseun
mengerjakan,ngadamelan
mengerjakan,ngagawean
mengerti,ngarti
mengerti,ngartos
mengetahui,nyaho
mengetahui,terang
mengetahuinya,nyaho eta
mengetahuinya,terang eta
menggabungkan,ngagabungkeun
menggaduh,nyieun ribut
menggali,ngali
menggambar,ngagambar
menggambarkan,ngagambarkeun
mengganggu,ngaganggu
mengganti,ngagentos
mengganti,ngahilikeun
menggantikan,ngagentoskeun
menggantikannya,ngagentoskeun
menggantinya,ngagentoskeun
menggantung,ngagantung
menggarap,ngagawean
menggendong,ngagandong
menggenggam,ngeupeul
menggerakkan,ngagerakeun
menggigit,ngagegel
menggonggong,ngagogog
menggoreng,ngagoreng
menggoyang,ngagoyang
menggugat,ngagugat
menggunakan,ngagunakeun
menggunakannya,make
menghabiskan,meakeun
menghadang,ngahalangan
menghadap,nyanghareup
menghadapi,nyangharuepan
menghadiri,datang
menghadiri,hadir
menghadiri,sumping
menghadirkan,ngadatangkeun
menghadirkan,ngahadirkeun
menghadirkan,nyumpingkeun
menghalangi,ngahalangan
menghambat,ngahalangan
menghancurkan,ngancurkeun
menghasilkan,ngahasilkeun
menghasut,ngahasut
menghentikan,eureun
menghentikannya,ngereunkeun
menghiasi,ngahias
menghibur,ngahibur
menghidangkan,ngalayangan
menghidangkan,nyampakeun
menghidupkan,ngahirupkeun
menghidupkan,ngahurugkeun
menghilang,ngaleungit
menghilangkan,ngaleungitkeun
menghimbau,pangjurung
menghimpun,ngumpulkeun
menghina,ngahina
menghina,ngécé
menghindari,ngajauhan
menghisap,nyeuseup
menghormati,ngahargaan
menghubungi,ngontak
menghubungkan,nyambungkeun
menghuni,nyicingan
mengidentifikasi,ngidentipikasi
mengikuti,ngiluan
mengikuti,nuturkeun
mengimpor,impor
mengindikasikan,nunjukeun
menginfeksi,nginféksi
mengingat,ngelingan
mengingat,ngemutan
mengingatkan,ngingetan
menginginkan,hayang
menginjak,ngalengkah
menginjak,nincak
menginspirasi,mere pentujuk
mengira,mikir
mengirim,ngirim
mengirimkan,ngirimkeun
mengiringi,ngiringi
mengisahkan,nyaritakeun
mengisi,eusian
mengiyakan,enya
mengiyakan,muhun
mengiyakan,sumuhun
mengizinkan,ngawidian
mengizinkan,ngidinan
mengkaji,diajar
mengklaim,klaim
mengkonfirmasi,mastikeun
mengkonsumsi,meakeun
mengkritik,nyempad
mengkritisi,nyempad
mengobati,ngobatan
mengobrol,nyarita
mengobrol,obrolan
mengolah,prosés
mengonfirmasi,mastikeun
mengonsumsi,meakeun
mengontrol,ngecék
mengoperasikan,ngaoprasikeun
mengorbankan,ngorbankeun
mengorbit,orbit
mengoreksi,mariksa
menguak,nembongkeun
menguasai,ngadominasi
menguat,nguatkeun
menguatkan,nguatkeun
mengubah,ngarobah
mengucapkan,ngauntapkeun
menguji,ngatés
mengukir,ngukir
mengukuhkan,mastikeun
mengukur,ngaukur
mengumandangkan,ngumandangkeun
mengumpulkan,ngumpulkeun
mengumumkan,ngabewarakeun
mengumumkan,ngumumkeun
mengundang,ngondang
mengundurkan,mundur
mengungkapkan,nyingkab
mengunjungi,nganjang
menguntungkan,nguntungkeun
mengurangi,ngurangan
mengurus,ngajaga
mengusahakan,narekahan
mengusahakan,ngausahakeun
mengusir,ngausir
mengusulkan,ngusulkeun
mengutip,mawa
menikah,kawin
menikahi,kawin
menikmati,ngarasakeun
menilai,meunteun
menimbulkan,ngabalukarkeun
menimpa,nimpa
meninggal,maot
meninggal,paeh
meninggal,pupus
meninggalkan,ngantunkeun
meninggalkan,ninggalkeun
meninggalnya,maotna
meninggalnya,paehna
meninggalnya,pupusna
meninggi,ngaluhuran
meningitis,meningitis
meningkatkan,naekeun
meningkatkan,ningkatkeun
menipis,ipis
meniru,nurutan
menirukan,tutruti
menit,menit
meniti,leumpang
menitik,ngeclak
menjadi,janten
menjadikan,nyieun
menjadikannya,nyieun
menjaga,ngajaga
menjajah,ngajajah
menjala,ngala lauk
menjalani,ngalaman
menjalankan,ngajalankeun
menjangkau,ngahontal
menjatuhkan,ngalengserkeun
menjatuhkan,ngalungsurkeun
menjauh,ngajauhan
menjawab,ngajwab
menjawab,ngawaler
menjelang,ngadeukeutan
menjelaskan,ngajelaskeun
menjerat,ngajebak
menjolong,nonjol
menjorok,nonjol
menjual,ngajual
menjualkan,ngajualkeun
menjualnya,ngajual
menjuarai,meunang
menjulang,ngahluhuran
menjunjung,hormat
menko,mentri koordinator
menolak,nolak
menolong,nulungan
menolongnya,mantuan manehna
menonton,lalajo
menopang,rojongan
menstruasi,haid
mentah,atah
mental,mã©ntal
mentari,panon poe
mentawai,mentawai
mentega,mantã©ga
menteng,menteng
menteri,menteri
mentor,pembimbing
mentri,meteri
menu,menu
menuai,metik
menuangkan,ngeurihkeun
menuangkan,nyicikeun
menuduh,nuduh
menukar,ngagentos
menular,tepa
menulis,nulis
menulis,nyerat
menuliskan,nuliskeun
menuliskan,nyeratkeun
menulisnya,nulisna
menulisnya,nyeratna
menumpang,milu numpak
menunda,nunda
menunggu,ngantosan
menunjang,rojongan
menunjuk,nujuk
menunjukkan,pintonan
menuntut,pamenta
menurun,ngurangan
menurunkan,nurunkeun
menurunnya,turunna
menurut,numutkeun
menurutnya,nurutkrun manehna
menutup,nutup
menyadari,sadar
menyajikan,ngalayanan
menyakiti,nganyenyeri
menyakiti,nyilakakeun
menyaksikan,lalajo
menyaksikan,ningalikeun
menyalahi,ngalanggar
menyalurkan,ngarakeun
menyamai,nyaruakeun
menyambung,nyambungkeun
menyambungkan,nyambungkeun
menyambut,ngabageakeun
menyampaikan,nepikeun
menyanggupi,satuju
menyangkal,mungkir
menyangkut,ngeunaan
menyanyi,ngahaleuang
menyanyi,ngalagukeun
menyanyikan,ngahaleuangkeun
menyanyikan,ngalagukeun
menyarankan,nyarankeun
menyatakan,nyatakeun kayaan
menyatu,ngahiji
menyatukan,ngahijikeun
menyebab,ngabalukarkeun
menyebabkan,ngabalukarkeun
menyebar,nyebar
menyebarkan,nyebarkeun
menyeberangi,meuntas
menyebut,nyebut
menyebutkan,nyebutkeun
menyebutnya,nyebutkeun
menyediakan,nyadiakeun
menyedihkan,sedih
menyekat,misahkeun
menyelam,teuleum
menyelamatkan,nyalametkeun
menyelesaikan,ngabereskeun
menyelesaikan,ngarengsekeun
menyelidiki,nalungtik
menyelip,nyelap
menyembunyikan,nyumpukeun
menyempurnakan,nyempurnakeun
menyenangkan,pikareseupeun
menyentuh,keuna
menyerah,pasrah
menyerahkan,masrahkeun
menyerahkan,nyerahkeun
menyerang,narajang
menyerangnya,nyerang manehna
menyerap,nyerep
menyertakan,ngalampirkeun
menyeru,nyauran
menyerupai,nyarupaan
menyesal,kaduhung
menyesuaikan,nyesuaikeun
menyetujui,satuju
menyewa,nyewa
menyiapkan,nyiapkeun
menyiarkan,nyiarkeun
menyimpan,nendeun
menyimpan,nunda
menyimpan,nyimpen
menyimpang,nyaliwang
menyimpulkan,nyimpulkeun
menyingkirkan,ngaleungitkeun
menyingkirkan,nyingkirkeun
menyisakan,nyesakeun
menyuarakan,nyora
menyukai,resep
menyukainya,resep pisan
menyumbang,nyumbangkeun
menyumbangkan,nyumbangkeun
menyusui,nyusuan
menyusul,nuturkeun
menyusul,nyusul
menyusun,nyusun
menyusut,ngaleungitkeun
merah,beureum
merahasiakan,ngarahasiakeun
merahasiakan,rusiah
meraih,ngahontal
merajai,ngaraja
merambah,nembus
merambat,ngarayap
merancang,ngarancang
merantau,ngumbara
meranti,meranti
merapi,merapi
merasa,ngaraos
merasa,ngarasa
merasakan,ngaraoskeun
merasakan,ngarasakeun
merata,sarua
merauke,merauke
merawat,perawat
merayakan,ngarayap
merbau,merbau
merebus,ngulub
merebut,ngarebut
merek,mã©rek
mereka,manã©hna
merpati,dederuk
merpati,japati
mertua,mitoha
mertuanya,mitohana
merubah,ngarobah
mesin,mesin
mesjid,masjid
miliki,ngabogaan
militer,militer
mimpi,impi
mimpi,ngimpi
minggu,ahad
minuman,inuman
minyak,lisah
minyak,minyak
misteri,misteri
mitos,mitos
mobil,mobil
mode,mode
momen,kajadian
momen,waktos
monitor,monitor
monitor,pangawasan
monyet,monyã©t
motor,motor
moyang,karuhun
moyang,luluhur
moyang,uyut
muka,beungeut
muka,raray
mulut,baham
mulut,sungut
murid,murid
museum,musium
musim,usum
musisi,musisi
musuh,musuh
musuh,satru
mutan,mutan
mutiara,mutiara
nada,nada
nafas,napas
naga,naga
naluri,insting
narapidana,narapidana
narkoba,narkoba
nasib,kulak cangeum
nasib,nasib
nasib,titis tulis
nasional,nasional
naskah,karangan
naskah,naskah 
natal,natal
negara,nagara
negeri,nagari
nelayan,pamayang
nenek,nini
neraka,naraka
nilai,peunteun
noda,kokotor
nomor,nomer
nona,mojang
nona,nyai
nuklir,nuklir
nyawa,nyawa
nyonya,garwa
nyonya,istri
nyonya,pamajikan
obat,landong
obat,ubar
objek,objã©k
objek,obyã©k
obrolan,cacariosan
obrolan,cacaritaan
obrolan,obrolan
oksigen,oksigen
olahraga,olahragi
olimpiade,olimpiade
opera,opera
operasi,bedah
operasi,operasi
opsir,opsir
orang,jalma
orang,jalmi
orang,jelema
orangtua,indung bapa
orbit,orbit
organisasi,paguyuban
otak,polo
otak,uteuk
otot,otot
pabrik,pabrik
pacar,kabogoh
padang,lapangan
padang,padang
paduka,kangjeng
pagar,kuta
pagar,pager
pagi,isuk-isuk
pahlawan,pahlawan
pajak,pajak
pakaian,acuk
pakaian,anggoeun
paku,paku
paman,amang
paman,emang
paman,mamang
pameran,pamã©ran
panah,jamparing
panah,panah
pandangan,pamandangan
pandangan,tetempoan
panduan,panduan
panduan,tata cara
panel,panel
panggilan,landih
panggilan,pang-gero
panggung,panggung
pangkalan,pangkalan
panjang,panjang
panjang,paos
pantai,basisir
pantat,birit
pantat,bujur
pantat,imbit
papa,abah
papa,apa
papan,papan
parasit,mangandeuh
parkir,parkir
partai,partai
paruh,pamacok
paruh,pamatuk
pasangan,jodo
pasar,pasar
pasir,keusik
pasokan,kiriman
pasokan,pasokan
pasta,pasta
pastor,pastor
pasukan,pasukan
patung,patung
paus,paus
payudara,pinareup
payung,payung
pecandu,pacandu
pecundang,euweuh kawani
pedang,gobang
pedas,lada
pedas,seuhah
pegangan,cekelan
pegawai,pagawã©
pegunungan,gugunungan
pejabat,pajabat
pejuang,pajoang
pekan,minggu
pekerja,pagawã©
pelabuhan,palabuhan
pelajaran,pangajaran
pelaku,palaku
pelanggaran,palanggaran
pelatih,palatih
pelatihan,palatihan
pelawak,tukang ngabodor
pelayan,palayan
pelayanan,palayanan
pelayanan,pangladã©n
peliharaan,ingon-ingon
peliharaan,piaraan
pelindung,lindung
pelindung,nu ngajaga
pemakaman,astana
pemakaman,kaluat
pemakaman,kuburan
pemakaman,pajaratan
pemakaman,pusara
pemanah,pamanah
pemandangan,tetempoan
pemarah,ambekan
pembasmi,panumpes
pembeli,nu meuli
pembeli,nu mã©sã©r
pembeli,nu ngagaleuh
pemberi,nu mã©rã©
pemberitahuan,uaran
pemberitahuan,ã©mbaran
pembicaraan,jejer
pembuangan,pamiceunan
pembuat,nu ngadamel
pembuat,nu ngajieun
pembuka,bubuka
pemburu,pamatang
pemegang,panyekel
pemenang,jawara
pemenang,pinunjul
pemeriksaan,pamariosan
pemerintahan,pamarã¨ntah
pemikiran,pamikiran
pemilik,nu-boga
pemimpin,pamingpin
pemuda,bujang
pemuda,jajaka
pena,pulpã©n
penakut,borangan
penampilan,dangdanan
penampilan,tagog
penampungan,panampungan
penawar,panawar
pencari,panã©ang
pencarian,paneangan
pencipta,panyipta
pencuri,bangsat
pencuri,maling
pencurian,kamalingan
pendarahan,getihan
pendekar,jawara
pendidikan,atikan
pendidikan,winaya
penduduk,nu nempatan
penduduk,nu nyicingan
pendukung,pangarojong
penelitian,panalitian
penembak,panã©mbak
penemuan,panggihan
penemuan,pendakan
penenang,panenang
pengadilan,pangadilan
pengakuan,pangakuan
pengalaman,kanyaho
pengalaman,pangalaman
pengangkutan,ngangkut
penganiayaan,panganiayaan
pengantar,bubuka
pengantaran,pangiriman
pengantin,panganten
penganut,panganut
penganutnya,panganut
pengap,eungap
pengaruh,pangaruh
pengaturan,pangaturan
pengawal,ponggawa
pengawas,pangawas
pengawasan,pangawasan
pengendalian,pangawasan
pengerjaan,ngolah
pengetahuan,ã©lmu
penggabungan,ngahijikeun
penggadai,tukang gadai
penggemar,panggemar
penghalang,halangan
penghalang,penghalang
penghargaan,panghargaan
penghubung,panghubung
penghuni,babakan
penghuni,nu nyicingan
pengikut,pamilu
penginapan,panginepan
penginapan,pangrereban
pengkhianat,pangheanat
pengobatan,pangubaran
penguasa,pangawasa
penilaian,pameunteunan
penilaian,panilã©yan
penipu,tukang nipu
penis,kanjut
penis,larangan
penis,sirit
penjahat,durjana
penjara,panjara
penjelasan,guaran
penjelasan,wawaran
penjualan,dagangeun
penjualan,icaleun
penonton,panongton
penulis,nu nulis
penulis,panulis
penutup,panutup
penyakit,kasakit
penyakit,panyakit
penyelamat,panulung
penyelidikan,laratan
penyelidikan,raratan
penyembuh,panyageur
penyerang,panyerang
penyerangan,nyerangan
penyiar,panyiar
penyiksaan,panyiksaan
penyusup,panyusup
peperangan,jurit
perahu,parahu
perairan,pacaian
perak,pã©rak
peralatan,parabot
peramal,dukun
peramal,jalmi pinter
perampok,bã©gal
perampok,parampok
perampokan,karampokan
perang,jurit
perangkap,parangkap
perasaan,raraosan
perasaan,rarasaan
peraturan,aturan
perawan,mojang
perawan,parawan
perawat,parawat
perawatan,parawatan
perayaan,hajatan
perbatasan,pangwates
perbuatan,gawã©na
percakapan,ungang
perceraian,pepegatan
perceraian,pipisahan
perdagangan,kadagangan
perdagangan,kaicalan
perdamaian,katengtraman
perdamaian,katengtreman
perempuan,istri
pergi,indit
pergi,mios
perhatian, atensi 
perhatiannya, atensina 
peri,peri
periode,pã©riodeu
peristiwa,kajadian
perjalanan,lalampahan
perjalanannya,lalampahan
perjanjian,perjangjian
perkataan,cariosan
perkataan,omongan
perkelahian,gelut
perkelahian,pasã¨a
perkemahan,pakã©mahan
perkiraan,angkanan
perkiraan,taksiran
perkiraan,wangwangan
perkumpulan,paguyuban
perlawanan, lalawanan
perlindungan,panangtayungan
perlombaan,balap
perlombaan,palombaan
perlu,perlu
perlu,peryogi
permainan,kaulinan
permanen,permanã©n
permanen,tetep
permen,permã©n
permintaan,kahayang
permintaan,kahoyong
permisi,permios
permisi,punten
permukaan,permukaan
pernah,kantos
pernah,kungsi
pernikahan,nikahan
pernyataan,parnyataan
perpustakaan,perpustakaan
persahabatan,ngababaturan
persediaan,sadia
persegi,pasagi
persidangan,pangadilan
persimpangan,pasimpangan
persimpangan,simpang
pertahanan,pataneuhan
pertama,kahiji
pertandingan,tanding
pertanyaan,patarosan
pertarungan,gelut
pertemuan,lawungan
pertengkaran,pacogregan
pertengkaran,papasã©aan
pertolongan,tulungan
pertunangan,tunangan
pertunjukan,lalajoaneun
pertunjukan,partunjukan
pertunjukan,pintonan
perubahan,parobahan
perusahaan,pausahaan
perusak,nu ngarusak
perut,beuteung
perut,lambut
perut,patuangan
pesan,pesen
pesanan,pesenan
pesantren,pesantrã©n
peserta,anu miluan
peserta,anu ngiringan
peserta,pamilon
pesta,hajat
pesta,pesta
peta,peta
petani,patani
petarung,patarung
peternakan,paternakan
peti,peti
petinju,patinju
petir,guluduk
petugas,patugas
petunjuk,parã©ntah
piano,piano
piatu,pahatu
piatu,piatu
pidato,biantara
pihak,pihak
pikiran,pikiran
pikirkan,pamikiran
pil,pil
pilihan,pilihan
pilot,pilot
pimpinan,ketua
pimpinan,pingpinan
pimpinan,pupuhu
pin,bros
pin,pin
pinggang,bobokong
pinggang,cangkã©ng
pinggir,sisi
pinjaman,injeuman
pintar,singer
pintu,lawang
pintu,panto
pintunya,pantona
pipa,cangklong
pipa,pipah
piring,piring
pisah,misah
pisang,cau
pisau,peso
pistol,bedil
pistol,pestol
pita,pita
pizza,pizza
planet,planet
plat,pelat
plat,plat
pohon,tangkal
poin,poin
pola,conto
polisi,pulisi
politik,politik
politisi,pulitisi
pondok,pondok
ponsel,telepon
populasi,populasi
porno,cawokah
porno,jorang
pos,pos
posisi,posisi
positif,positip
prajurit,prajurit
prajurit,soldadu
pramuka,pramuka
preman,prã©man
pria,bujang
pria,lalaki
pria,pameget
pribadi,pribadi
pribadi,pribados
pribadi,sorangan
pribadinya,pribadosna
produk,produk
profesor,profesor
program,program
program,rarancang
properti,properti
prosedur,cara
proses,prosés
prosesnya,prosésna
psikologi,psikologi
psikopat,psikopat
publik,umum
puisi,puisi
pujian,aleman
pukul,babuk
pukul,jam
pukul,tabuh
pukul,takol
pukul,teunggeul
pukulan,peureup
pukulan,teunggeulan
pulang,balik
pulang,uih
pulangnya,balikna
pulangnya,uihna
pulau,pulo
puluhan,puluhan
punah,punah
puncak,penclut
puncak,ponclot
puncak,poncot
punya,boga
purnama,purnama
pusat,pusat
putaran,puteran
putih,bodas
putra,anak lalaki
putri,awewe
putus,pegat
rabu,rebo
racun,peurah
racun,racun
racun,warangan
radiasi,radiasi
radio,radio
radiologi,radiologi
radius,radius
rahasia,rasiah
rahasia,rusiah
raja,raja
rajin,getol
raksasa,buta
raksasa,raksasa
rakyat,rahayat
rakyat,rakyat
ramai,ramé
rambut,buuk
rambutnya,buukna
rancangan,konsã©p
rangka,rangka
rangking,rangking
ranjang,risbang
rantai,rantã¨i
rapat,kempelan
rapat,rapat
rapuh,rapuh
rasa,rasa
rasakan,ngarasakeun
rasanya,rasana
rasul,rasul
rata,rata
ratu,ratu
rawa,embel
rebus,kulub
rehabilitasi,rehabilitas
rekaman,rekaman
rekan,baturan
rekan,rencang
rekannya,babaturanna
rekening,rekening
rektor,rektor
remaja,jajaka
remaja,nonoman
rencana,rencana
rendah,pendék
replika,replika
reporter,reporter
republik,republik
resiko,akibat
resmi,resmi
resminya,resmina
restoran,restoran
reuni,reuni
riang,gumbira
ribuan,rébuan
rindu,sono
ringan,hampang
riset,panulungtikan
risiko,mamala
ritual,kabiasaan
ritual,ritual
robot,robot
roda,ban
roda,kikiping
roh,roh
rokok,rokok
rokok,udud
roman,pande
roman,parangi
roman,riuk
rompi,rompi
rongsokan,rongsokan
roti,mari
roti,roti
ruang,rohang
ruangan,rohangan
rujuk,rempung
rumah,bumi
rumah,imah
rumah,rorompok
rumput,jukut
rusa,uncal
rute,jalur
sabuk,beubeur
sabun,sabun
sahabat,babaturan
sahabat,sobat
sahabat,sumitra
saham,saham
sakit,gering
sakit,teu damang
sakit,udur 
saksi,saksi
salad,salad
salam,salam
salju,salju
saluran,talang
saluran,walahar
sampah,runtah
sampai,nepi
samping,gigir
samping,sisi
sampingnya,gedengeun
sampingnya,gigireun
samurai,samurã©i
sandera,sandra
sandi,isarat
sandi,kode
sangat,meni
sanggup,sanggem
santa,santa
santan,cai pati
sapi,sapi
sapotong,seurina
sapu,sapu
saran,bongbolongan
sarang,sarang
sarapan,mumuluk
sarapan,nyarap
sarapan,sasarap
sarjana,sarjana
sarung,sarung
satelit,satelit
saudara,dulur
saudara,wargi
sawah,sawah
sawah,serang
sbb,jeung sajabana
sebab,kumargi
sebagian,sawareh
sebaiknya,sakedahna
sebaiknya,sakuduna
sebaliknya,sakedahna
sebaliknya,sakuduna
sebanyak,salobana
sebanyak,saseueurna
sebaris,sajajar
sebatang,sabatang
sebelah,sapasi
sebelum,memeh
sebelumnya,sateuacanna
sebenarnya,saleresna
sebentar,sakedap
seberang,meuntas
seberapa,sakumaha
sebesar,saageung
sebesar,sagédé
sebotol,sabotol
sebulan,sasasih
sebut,sebat
sebutan,sebatan
