menghancurkan	ngancurkeun
akut	parna
artinya	hartina
galur	tapak
bicaranya	omongna
keseluruhannya	sakabehanna
berbahasa	bahasana
aliran	kocor
bertelur	bertelor
panggung	panggung
diikat	ditalian
cepatnya	saenggalna
untung	untung
piatu	pahatu
kamar	pangkeng
inspektur	pamariksa
menggunakannya	make
lagu	nyanyaian
benang	bola
jarak	anggang
bunda	ibu
beruntung	nanjung 
pertama	kahiji
mengunjungi	nganjang
diri	diri
buruk	awon
berdasar	dasarna
cepat	tereh
alaihi	ka anjeunna
menyelip	nyelap
makna	makna
seluruh	kabeh
bersekolah	sakola
studio	studio
airku	cai abdi
berbagai	rupi-rupi
goreng	ngagoreng
aku	urang
ramai	rame
suku	suku
doa	du'a
menarik	ngadudut
berita	warta
katolik	katolik
kedua	kadua
menyimpulkan	nyimpulkeun
angel	leukleuk
lokasi	enggon
cirinya	cirina
arkeolog	arkeolog
jarang	jarang
baterai	batre
ditekankan	ditenetkeun
menggaduh	nyieun ribut
informan	inporman
berasal	kawitna
menjadi	janten
aparat	pakakas
daratan	daratan
dikembalikan	diuihkeun
rumput	jukut
meningkatkan	ningkatkeun
penis	larangan
berbincang	ngawangkong
pribadi	pribadi
berbaju	pakeanana
begini	kos kieu
warga	warga
sendiri	sorangan
timur	wetan
disebut	disebat
hobi	langen
sendirinya	salira
kargo	kargo
populasi	populasi
berkeinginan	kahayang
dahulu	bareto
obrolan	obrolan
dialaminya	diraoskeun
duri	cucuk
pukulan	teunggeulan
benci	ceuceub
harga	hargi
dekade	dekadeu
balun	balut
ditakuti	dipikasieun
bergantian	gonta-ganti
tahan	tahan
memakainya	makena
naskah	naskah 
bertemu	papendak
persimpangan	pasimpangan
mabuk	mabok
cewek	mojang
banjar	banjar
perlindungan	panangtayungan
paruh	pamacok
biru	paul
kehancuran	kahancuran
disukai	dipikaresep
esai	karangan
jerami	jarami
aulia	aulia
gerhana	peteng
disahkan	disahkeun
berikut	diantarana
diraihnya	dihontalna
isi	eusi
menyelesaikan	ngarengsekeun
lupa	poho
tanggal	ping
data	data
suntik	suntik
benih	siki
kakek	aki
berani	wantun
pengerjaan	ngolah
silahkan	mangga
mental	mental
sarapan	nyarap
rumah	imah
menurunnya	turunna
lomba	balap
bertukar	patuker
merahasiakan	ngarahasiakeun
dinikahi	dinikahkeun
bulu	bulu
kurangnya	kurangna
selepas	rengse
awal	awit
santa	santa
busur	gandewa
bakatnya	watekna
dinas	dines
memukul	ngababuk
gairah	kahayang
tengah	tengah
masukan	asupan
keberadaan	kaayaan
dituliskan	dituliskeun
sutra	sutra
tetangga	tatangga
pelayanan	palayanan
ulama	ulama
roda	ban
amendemen	amendemen
sihir	sihir
diparut	diparud
ucapan	ucapeun
bangau	bango
naskah	karangan
hak	hak
nomor	nomer
berbalas	silih bales
mengukur	ngaukur
hambatan	halangan
udang	hurang
mulut	sungut
berdiameter	diameterna
ingatan	ingetan
buntu	buntu
akurat	akur
mampu	sanggup
beralamat	panganjrekan
jendela	jandela
disapa	ditaros
sakit	gering
menyebut	nyebut
fungsi	kagunaan
kekasih	kabogoh
alas	dadampar
toko	toko
halamannya	halamanna
wali	wawakil
nyonya	istri
siapkan	siapkeun
kaku	reged
dikukus	sepan
kata	ceuk
isu	ihwal
atas	luhur
kadar	kadar
bapak	apa
awalan	dimimitian 
australia	australia
remaja	nonoman
dipenuhi	dipinuhan
ukurannya	ukuranna
danau	talaga
alamnya	alamna
wafatnya	tilar dunya
berbahaya	bahaya
cukup	cukup
jalur	jalur
kambing	embe
cemburu	timburu
pertengkaran	papaseaan
air	cai
lelaki	lalaki
menaikkan	naekeun
antibiotik	antibiotik
berdarah	getihan
ilusi	ilusi
membebaskan	ngabebaskeun
getaran	geteran
berpikir	mikir
amen	amin
ketemu	tepung
kelinci	kelenci
asin	pangset
halangan	wagel
dampak	pangaruh
bujang	lajang
kerajaan	karajaan
usai	anggeus
ajarannya	ajaranna
tangga	taraje
perampokan	karampokan
kakaknya	lanceukna
tenang	tengtrem
kematiannya	maotna
tenaga	tanagi
terbuka	kabuka
tugas	pancen
ritual	ritual
aqidah	aqidah
malu	era
goresan	guratan
adu	paseana sato
menutup	nutup
menekankan	nekenkeun
formula	rumus
diselenggarakan	diayakeun
kebencian	mikangewa
sindrom	sindrom
pengawasan	pangawasan
menghadirkan	nyumpingkeun
berlokasi	enggon
menamatkan	nganggeuskeun
teror	neror
tulisannya	seratanna
ksatria	panglima
takbir	takbir
ayam	hayam
ekor	buntut
perut	beuteung
karet	karet
simpanan	teumdeunan
mengizinkan	ngawidian
radius	radius
apbn	apbn
dinding	tembok
gerak	usik
disimpan	disimpen
sikat	nyikat
hidung	pangambung
bekas	tilas
informasi	warta
besok	isukan
berdesakan	pagegelek
kerugian	rugel
merah	beureum
kesedihan	kasedihan
menyebar	nyebar
kecepatan	enggal
kalah	eleh
agama	agami
hari	dinten
penyusup	panyusup
menghubungi	ngontak
memulai	ngawitan
bicaranya	nyariosna
adakan	ngayakeun
bahasan	bahasan
dianggap	dianggap
bangunan	wangunan
kapak	baliung
medali	medali
kejadian	mangsa
kondom	kondom
mending	leuwih alus
hubungan	pancakaki
berjauhan	patebih
ventilasi	ventilasi
berusaha	usaha
bayi	orok
kata	kecap
didalamnya	dijerona
perlu	perlu
kesamaan	sami
getah	geutah
mengiyakan	enya
mengusahakan	narekahan
alih	pindah
senapan	loco
akhlak	kalkuan
bersaudara	dulur
tetapi	nanging
jaminan	tandon
berbatasan	diwatesanan
mengiyakan	sumuhun
membersihkan	bebersih
usia	yuswa
perawat	parawat
jatuhkan	labuhkeun
semoga	mugia
penjahat	durjana
judi	judi
deskripsi	deskripsi
bertanya	naros
hadiah	hadiah
gula	aamis
guna	pake
mendekat	ngadeukeutan
tang	gegep
jernihnya	 herangna
sampingnya	gedengeun
cepatlah	terehkeun
elang	heulang
wawancara	wawancara
membeli	meuli
kaset	kaset
tuhan	gusti
topi	topi
mendatangkan	mawa
bonus	bonus
ban	ban
bebas	bebas
menikahi	kawin
dokumen	berkas
menetap	cicing
menyumbangkan	nyumbangkeun
memori	memori
inspirasi	alpukah
hadiah	kado
ditandai	dicirian
ajaib	gaib
biar	kajen
menghadapi	nyangharuepan
dipercayai	dipercantenkeun
mengundurkan	mundur
akademik	atikan
abad	abad
penghubung	panghubung
tuduhan	tudingeun
mencukup	cekap
moyang	uyut
awan	mega
biarkan	keun wae
semester	semester
mengalami	ngalaman
arsitektur	arsitektur
padang	padang
berkenalan	kenalkeun
teroris	teroris
agen	agen
roh	roh
jaring	jaring
membantu	ngabantuan
ajarannya	atikanna
agus	bagus
tokoh	dedengkot
baru	anyar
berpendapat	boga pamadegan
diingat	diemut
tang	tang
tongkat	tongkat
menyangkut	ngeunaan
dingin	tiis
acar	acar
menjajah	ngajajah
sebatang	sabatang
suster	suster
galur	alur
kolonel	kolonel
dibakar	dibeulem
kecewa	kuciwana
batas	batas
senapan	bedil
lagu	lagu
adiknya	adina
bagan	bagan
penghalang	halangan
seharusnya	sakedahna
bergerak	usik
kehabisan	kaseepkeun
benih	biji
asmara	kasmaran
menghidupkan	ngahurugkeun
ditarikan	didudutan
abu	lebu
berdiri	ngadeg
raksasa	buta
asisten	pangbantu
pencarian	paneangan
lembut	halus
karang	karang
armada	armada
katakan	sebutkeun
ensiklopedia	ensiklopedia
adapun	ayana
kesenangan	senang
beruang	beruang
berarti	bararti
atur	ngatur
harimau	maung
bertanda	nandaan
petugas	patugas
menulisnya	nyeratna
alquran	alquran
seminggu	saminggu
kabar	larap
imajinasi	imajinasi
drum	dreum
dunia	dunya
memegang	nyekelan
mendapatkan	meunangkeun
imigrasi	imigrasi
boleh	kenging
gempa	lindu
didengarkan	didengekeun
menyerangnya	nyerang manehna
diskusi	sawala
mengetahuinya	nyaho eta
kabel	kabel
dibongkar	dirakrak
amerika	amerika
diharapkan	diharepkeun
warung	warung
balun	bulen
saluran	talang
pandangan	pamandangan
bumi	dunya
kebudayaan	kabudayaan
koordinat	koordinat
tindih	nindih
bejana	bejana
kerusuhan	karusuhan
bayangkan	ngabayangkeun
bangkit	ngadeg
giliran	piligenti
menghidupkan	ngahirupkeun
menyatu	ngahiji
sunah	sunah
program	program
permen	permen
umat	umat
katanya	ceunah
mengerti	ngarti
lintasan	lintasan
jahe	jahe
sahabat	sobat
almanak	almenak
tong	tong
toleransi	toleransi
area	tempat
bulat	buled
belakangnya	tukangna
mendominasi	ngadominasi
internet	internet
konspirasi	sakongkolan
kulkas	lomari es
bab	bab
apresiasi	pangajen
sawah	serang
masalah	masalah
terbit	medal
berdampingan	pasisi-sisi
penggadai	tukang gadai
berair	caian
adakan	aya henteu
biksu	wiku
selamat	salamet
dihasilkannya	dihasilkeunna
penggabungan	ngahijikeun
jauh	tebih
dipanen	dipanen
stroke	stroke
mengobrol	nyarita
bayam	bayem
menjawab	ngajwab
wilayah	wilayah
gerobak	gorobag
agustus	agustus
berdurasi	durasina
setiap	saban
berpolitik	pulitik
tumpah	bahe
gelembung	budah
dihiasi	dipapaesan
sebagian	sawareh
pertunjukan	pintonan
mendatang	datang
pusat	pusat
sesuatu	hiji hal
tanduk	tanduk
berlian	berlian
menyeru	nyauran
ustad	guru
emas	emas
fantasi	khayalan 
berbanding	bandingkeun
menghasut	ngahasut
paku	paku
pertanyaan	patarosan
anting	anting
panah	panah
mendefinisikan	nangtukeun
terpikir	kapikir
lelaki	pameget
rekaman	rekaman
kesalahan	kalepatan
bukan	sanes
gas	gas
dihapus	dipupus
pembuat	nu ngadamel
makan	dahar
biola	biola
ancaman	anceman
rasanya	rasana
meneruskan	neraskeun
manfaat	mangpaat
mendaftarkan	ngadapkeun
beranak	ngowo
suaminya	salakina
sukses	sukses
pulangnya	balikna
mengembara	ngumbara
mengapa	naha
barunya	anyarna
alias	landi
penulis	panulis
setuju	sapuk
matang	asak
mendeteksi	ngadeteksi
inspirasi	ilham
kerasnya	alotna
kakak	raka
menjauh	ngajauhan
formulir	formulir
kemuliaan	kamuliaan
merawat	perawat
abadi	sainengna
baris	baris
berencana	direncanakeun
perahu	parahu
titik	titik
makanan	katuangan
informan	pawarta
rokok	udud
dirikan	ngadegkeun
panduan	tata cara
tertuang	katuang
kecamatan	kecamatan
entahlah	duka atuh
fiksi	bohong
bernomor	nomorna
berdurasi	lilana
gading	gading
rancangan	konse
mertua	mitoha
aba-aba	tanda
menulisnya	nulisna
penawar	panawar
pesan	pesen
perdamaian	katengtreman
pengaruh	pangaruh
bagan	susunan
endemis	endemis
berantai	ngaruntuy
istrinya	pamajikanna
ahmad	ahmad
hidung	pangambeu
arifin	jelema arip
bakunya	pangpangna
internal	internal
angin	angin
dikirim	dikintun
wakilnya	wawakil
gelap	poek
lengan	leungeun
rabu	rebo
menimpa	nimpa
korupsi	korupsi
sumpah	sumpah
bersuku	suku
tukang	purah
berkurang	ngirangan
asuransi	asuransi
kembalikan	ngauihkeun
umurnya	yuswana
ternak	sato piaraan
insan	insani
asumsi	sangkaan
menebus	nebus
menggugat	ngagugat
spesialis	ahli
dengan	sareng 
bendungan	waduk
mengawali	ngamimitian
dipukul	ditakol
cita	cita
selalu	sok
ahad	poe ahad
mengkonsumsi	meakeun
plat	pelat
tertarik	kabetot
antik	heubeul
memerangi	gelut
jasad	raga
arus	arus
ditulis	diserat
golf	golp
bait	pada
menghadirkan	ngadatangkeun
sikat	panyikat
menggabungkan	ngagabungkeun
hewan	sato
alih	ngalih
keringkan	garingkeun
positif	positip
meninggi	ngaluhuran
rambut	buuk
agung	ageung
mengadopsi	ngukut
kaisar	raja
siapapun	saha wae
berbasis	ngabasis
antarabangsa	antara bangsa
kaki	suku
artefak	artefak
diam	cicing
lainnya	lainna
pedas	lada
menyetujui	satuju
uskup	uskup 
reuni	reuni
diakhiri	dipungkas
pesantren	pesantren
berdagang	dagang
bersaudara	wargi
harus	kudu
disamping	digigir
menderita	sangsara
mengobati	ngobatan
lantai	tehel
kerasnya	teuasna
properti	properti
menyambungkan	nyambungkeun
terpilih	kapilih
merapi	merapi
kencan	kencan
arwah	arwah
perjalanannya	lalampahan
hatinya	hatena
bersih	resik
archimedes	archimedes
asuhan	miara
afrika	afrika
strategi	strategi
saham	saham
terakhir	pamungkas
tangkap	ditewak
perusahaan	pausahaan
berkah	berkah
menikmati	ngarasakeun
abis	beak
manis	amis
sisinya	sisina
ilegal	teu sah
berbadan	awakan
akar	jangkar
begitu	kos kitu
menyempurnakan	nyempurnakeun
perampok	begal
diwarnai	diwarnaan
diduduki	didiukkan
awam	awam
bahana	gema
alam	alam
bata	bata
memakannya	ngadaharna
tagihan	tagiheun
usia	umur
tol	tol
cacing	cacing
robot	robot
coklat	coklat
menantunya	minantuna
rangka	rangka
inisial	ngaran singket
dikritik	dikaritik
diperhatikan	nengetan
bangladesh	bangladesh
berbakat	berbakat
gampang	gampil
bercahaya	cahya
sandera	sandra
bersyukur	bersukur
mengabdi	ngabakti
masa	mangsa
benderanya	benderana
basah	basuh
umpama	utami
objek	obyek
tato	tato
permintaan	kahoyong
ditemui	dipendakan
surat	surat
atlas	atlas
kedamaian	katentreman
menggantung	ngagantung
awal	mimiti 
kecurigaan	kacurigaan
anggap	nganggap
dijumpai	ditepangan
jelek	awon
belalang	simeut
tersebut	kasebat
menghadang	ngahalangan
pribadinya	pribadosna
tetap	angger
cacar	kuris
dijumlahkan	ditambihkeun
kematian	pupusna
menyentuh	keuna
digantikan	digantikeun
doktor	doktor
merpati	dederuk
biaya	bayareun
banyumas	banyumas
kakak	teteh
menuangkan	ngeurihkeun
panel	panel
bandit	bandit
seberang	meuntas
dukun	'jelema pinter'
simpan	simpen
konflik	konplik
antaranya	diantarana
kehancuran	ludes
diabaikan	teu malire
menurutnya	nurutkrun manehna
menemukannya	manggihan eta 
meningkatkan	naekeun
soal	soal
letnan	letnan
wajahnya	rarayna
terkenal	kawentar
adik	rai
mengukir	ngukir
baja	malela
artikel	tulisan
kulihat	ditingal
akta	akte
berpengaruh	boga pengaruh
hambatan	harungan
jebakan	pitapak
begitupun	kos kitu
punya	boga
favorit	nu di pikaresep
menunda	nunda
bando	bando
kehabisan	kabeakeun
senyum	mesem
kedutaan	kedutaan
mendampingi	ngiringan
tarian	ibingan
pramuka	pramuka
bambu	awi
pertahanan	pataneuhan
menyerahkan	masrahkeun
kecelakaan	kacilakaan
serangan	serangan
kebakaran	kahuruan
beralih	ngalih
bunyi	sora
dibuat	dijieun
rekening	rekening
beliau	maneh
mendengarkan	ngadengekeun
mama	indung
papa	abah
tolonglah	tulungan
permisi	punten
bayangkan	diwangwang
sektor	sektor
bertekad	bertekad
bentuk	mangrupa
iblis	iblis
menimbulkan	ngabalukarkeun
siapa	saha
perempuan	istri
rajin	getol
berlebih	langkung
kompetisi	kompetisi
sebutan	sebatan
jet	jet
menyatakan	nyatakeun kayaan
magang	magang
kertas	keretas
dipahami	ngarti
sepertinya	sapertosna
bermukim	cicingna
menafsirkan	ngahartikeun
hamba	abdi
dikirimkan	dikirimkeun
mengumumkan	ngabewarakeun
acara	acara
bakmi	bakmi
sore	sore
isu	harewos
diperiksa	dipariksa
direnovasi	disaean
pisau	peso
betul	leres
keranjang	karanjang
permanen	tetep
berbeda	benten
opera	opera
medan	enggon
stasiun	stasiun
menjalankan	ngajalankeun
keluarga	kulawargi
saran	bongbolongan
tidak	teu
ditempatkan	ditempatkeun
bangkai	bangkai
bahu	taktak
bencana	musibah
membunuh	ngarogahala
harap	harep
iklim	hawa
sup	sop
militer	militer
diamlah	ngajedog
takut	sieun
hangat	haneut
turunan	pudunan
bengkak	bareuh
dilakukan	dilakonan
dikerjakannya	didamelkeunna
kubur	kuburan
balkon	gagandok
mana	mana
akrab	akrab
cetakan	citakan
republik	republik
kidal	kede
harga	pangaos
mengetahui	terang
investigasi	mariksa
kedokteran	medis
cat	cet
rakyat	rakyat
baku	lulugu
preman	preman
merahasiakan	rusiah
pasir	keusik
dokter	mantri
alasannya	lantaranna
imbalan	honor
terbangun	kabangun
mobil	mobil
bakunya	biasa-biasana
berangkat	indit
tercepat	enggal
ironis	hanjelu
perlu	peryogi
kepentingan	kapentingan
menunjuk	nujuk
topeng	kedok
tiang	tihang
kegembiraan	kagumbiraan
sifat	sipat
ibu	pun biang
menyusul	nuturkeun
dipanaskan	dihanetkeun
bertani	tatanen
bicara	ngomong
puncak	penclut
arabia	arabia
angkatan	jaman
kiri	kiwa
golok	bedok
bahaya	pisusaheun
kantor	loji
mantan	tilas
amin	amin
hutan	leuweung
menteng	menteng
panduan	panduan
narapidana	narapidana
nona	nyai
sepak	tajong
diamlah	cicing atuh
pemanah	pamanah
asalnya	asalna
kerajaannya	karajaan
bajingan	goblog
hampir	ampir
halaman	kaca
moyang	karuhun
ketemu	katimu
antropolog	antropolog
penginapan	panginepan
bumbu	samara
dinikmati	dirasakeun
mendorong	ngadorong
tipis	ipis
lupa	hilap
batuk	batuk
meninggalnya	paehna
program	rarancang
mengizinkan	ngidinan
taksi	taksi
dijanjikan	dijangjikeun
bercabang	nyabang
sikap	paripolahna
berkerumun	balarea
bakteri	bakteri
seminggu	saminggon
jangan	ulah
disana	diditu
menyambung	nyambungkeun
bunut	ekor
asa	pangharepan
berketurunan	katurunan
iklan	pariwara
mengambilnya	mawa eta
baris	jajar
berani	wani
jatuh	labuh
audisi	audisi
bawang	bawang
dipegang	dicekel
berduri	cucukan
asa	harepan
jawaban	waleran
menggantikannya	ngagentoskeun
kandang	kandang
berfungsi	fungsina
aneka	rupi-rupi
gairah	napsu
meninggalkan	ngantunkeun
besarnya	agengna
jembatan	jambatan
anaknya	putrana
antena	anteneu
airku	cai kuring
kerabat	rerehan
kadar	titis-tulis
dilihat	ditempo
turunan	turunan
rebus	kulub
bantal	anggel
inti	poko
sponsor	seponsor
menyembunyikan	nyumpukeun
kapal	kapal
sejak	saprak
maafkan	hapuntenna
koridor	koridor
anggotanya	anggotana
mengurangi	ngurangan
terdapat	aya
gurunya	guruna
kesengsaraan	kasangsaraan
tersinggung	kasigeung
senat	senat
berbahaya	pisusaheun
bagus	alus
dekat	deukeut
fakta	kanyataan
menikah	kawin
balik	mulang
mendorongnya	nyorong eta
persahabatan	ngababaturan
tank	teng
menginfeksi	nginfeksi
sepasang	salayan
diartikan	diartikeun
menteri	menteri
remaja	jajaka
imbalan	buburuh
diperlukan	diperlukeun
mengatakannya	ngomongkeun
laporan	laporan
istana	karaton
aula	aula
baca	maos
bos	pingpininan
gerak	embut
kandung	kaeusi
anyaman	anyaman
berguru	diajar
bergantung	ngagantung 
beruang	biruang
sedap	raos
menonton	lalajo
pengkhianat	pangheanat
diganti	digentos
pembeli	nu meser
mutiara	mutiara
kalimat	ungkara
otak	uteuk
disuapi	dihuapan
bercumbu	bobogohan
medan	medan
mengantarkannya	ngajajapkeun eta
balun	bungkus
berhak	kedah
ataupun	atanapi
angkut	ngangkut
puluhan	puluhan
entah	duka
menangis	 ceurik
ditarik	didudut
ayo	hayu
hutang	sambetan
beralamat	ditujukeun
menggambarkan	ngagambarkeun
sinar	sinar
memberi	mere
unit	unit
bedanya	bedana
bahari	palaut
standar	sedeng
bajunya	acukna
dulu	baheula
penghargaan	panghargaan
balut	bungkus
amir	senapati
dipegangnya	dicengpengna
ukur	ngukur
semak	dungus
mendasarinya	ngadasarkeun
peta	peta
merata	sarua
iklim	iklim
wasiat	amanat
menyangkal	mungkir
untuk	kanggo
permisi	permios
diselesaikan	direngsekeun
debat	sawala
bercanda	ngabodor
dengannya	sarengna
abdi	kawula
cewek	awewe
sudah	saenggeus
badan	awak
menuntut	pamenta
serangga	gegemetan
mama	ibu
bersaing	nyaing
ansambel	ansambel
bertamu	namu
lemparan	baledogan
bercampur	ngahiji
hujan	hujan
total	total
turis	turis
sel	sel
baru	enggal
dengarkan	dengekeun
episode	episode
ketiga	katilu
bang	beureum
kulit	kulit
berbisnis	babalantik
