aba	obo
penegak	panegak
peneliti	peneliti
penelitian	panaliten
penembak	penembak
penemu	sengnemu
penemuan	penemuan
penenang	panentrem
penerbangan	penerbangan
penerima	panrima
penerjemah	penerjemah
pengacara	pangacara
pengadilan	pengadilan
pengakuan	pengakuan
pengalaman	pengalaman
pengalihan	pangalihan
pengamanan	keamanan
pengangguran	pengangguran
pengantaran	ngeterke
pengantin	manten
pengantin	nganten
pengantin	penganten
pengantin	temanten
pengasingan	pengasingan
pengatur	seng ngatur
pengaturan	panatanan
pengawasan	pengawasan
pengejaran	nguber
pengeluaran	pengeluaran
pengembangan	pangembangan
pengembara	ngumbara
pengemis	pengemis
pengenal	pengenal
pengendalian	seng ngendalike
pengendara	penunggang
pengetahuan	pengerten
pengetahuan	wawasan
pengganggu	pengganggu
penggemar	padhemen
pengguna	penggawe
penghakiman	di adili
penghalang	pembates
penghancuran	karusakan
penghargaan	pangaosan
penghasilan	gaji
penghianat	pengecut
penghubung	panyambung
penghuni	wargi
pengikut	meloki
penginapan	panginepan
pengkhianat	kiyanat
pengujian	panguji
pengunduran	pengunduran
pengungsi	pengungsi
penguntit	penguntit
pengurus	pengurus
pengusiran	pengusiran
pening	mumet
peninggalan	peninggalan
penipu	penipu
penis	kontol
penis	pajaleran
penis	titit
penjaga	penjogo
penjaga	sing njaga
penjagaan	penjagaan
penjahat	penjahat
penjara	penjara
penjelasan	panggenahan
penjualan	dodolan
penjualan	penjualan
penjudi	bandar
penokohan	lakon
penolakan	penolakan
penonton	penonton
pensil	potlot
pensiunan	pensiunan
penuh	kebak
penuntut	penuntut
penurunan	dronjongan
penutup	penutup
penutupan	pungkasan
penyakit	penyakit
penyelam	penyelam
penyelamat	penyugeng
penyelidik	penyidik
penyelidikan	panaliten
penyelundup	penyelundup
penyembuhan	marasake
penyerahan	seserahan
penyerang	penyerang
penyerangan	penyerangan
penyiar	penyiar
penyihir	dukun
penyiksaan	nyikso
penyimpanan	penyimpenan
pepatah	paribasan
pepatah	pitutur
pepaya	kates
peperangan	peperangan
pepohonan	wit
perahu	prau
perairan	perairan
perairan	rowo
perak	perak
peralatan	perkakas
peramal	peramal
perampokan	prampogan
perang	perang
perangkap	perangkap
perapian	perapian
perasaan	prasaan
peraturan	peraturan
perawan	prawan
perawat	prawat
perayaan	prayaan
perayaan	slametan
perban	perban
perbatasan	baketan
perbatasan	wates
perbedaan	pambeda
perbuatan	lelakon
perbuatan	pandamel
perbudakan	babu
perburuan	mburu
percaya	percoyo
percayalah	percoyoo
perceraian	pegatan
perdagangan	perdagangan
perdamaian	tentreman
perdana	ndisek
perempuan	wadon
perempuan	wedhok
perempuan	wedok
perempuannya	wedokane
pergi	lungo
pergilah	lungoo
perguruan	perguruan
perhatian	perhatian
perhatikan	delok
perhitungan	itung-itungan
peri	peri
periksa	prikso
perilaku	lelakon
perimeter	ukuran
peringatan	teguran
perintah	dhawuh
perintah	titah
periode	mongso
periode	wayah
periuk	dandang
perjalanan	tindak
perjanjian	janji
perkawinan	kondangan
perkawinan	mantenan
perkawinan	rabi
perkebunan	kebon
perkemahan	kemah
perkumpulan	paguyuban
perlahan	alon-alon
perlakuan	perlakuan
perlakukan	nindakake
perlindungan	perlindungan
permainan	dolanan
permainannya	dolanane
permanen	permanen
permasalahan	permasalahan
permen	mbanggulo
permen	permen
permintaan	kekarepan
permintaan	penjalukan
permisi	nuwun
permisi	punten
permukaan	nduwur
permukaannya	nduwure
permulaan	ndisek dewe
pernah	tau
pernapasan	ambegan
perniagaan	dodolan
pernikahan	rabi
pernikahannya	rabine
perokok	ududan
perompak	bajag
perpustakaan	perpustakaan
persahabatan	kekancan
persahabatan	koncoan
persaingan	persaingan
persatuan	satunggalan
persediaan	cawisan
persegi	kothak
persekutuan	perkumpulan
perselisihan	pertengkaran
persidangan	persidangan
persik	persik
persimpangan	persimpangan
persoalan	persoalan
personil	anggota
perspektif	perspektif
persyaratan	syarat
pertahanan	pertahanan
pertama	ndisik
pertama	pertama
pertama	wahid
pertamanya	ndisiki
pertandingan	cocog
pertarungan	perang
pertempuran	gelut
pertengkaran	gelut
pertengkaran	padu
pertengkaran	tukaran
pertumbuhan	tuwuh
pertunjukan	tampil
perubahan	ganti
perusahaan	perusahaan
perut	padharan
perut	weteng
perwira	perwira
pesan	pesan
pesan	wekas
pesanan	pesenan
pesanan	wekasan
pesat	kenceng
pesawat	montor mabur
pesawat	pesawat
peserta	peserta
pesona	pesona
pesta	nduwe gawe
pesta	pesta
peta	peta
petang	peteng
petang	surup
petani	petani
petarung	penandhing
peternakan	peternakan
peti	peti
petinju	petinju
petir	gluduk
petuah	pitutur
petualang	jelojoh
petualangan	petualangan
petunjuk	petunjuk
petunjuk	pituduh
piano	piano
piaraan	ingon-ingon
piatu	piatu
pidana	pidana
pidato	pidato
pihak	pihak
pikir	piker
pikiran	pikiran
pikirkan	pikerke
piknik	piknik
pil	pel
pilar	sangga
pilih	pileh
pilihan	pilian
pilihan	pilihan
pin	pin
pinang	jambe
pindah	ngalih
pinggang	boyok
pinggir	pinggir
pinggul	boyok
pingsan	semaput
pinjaman	jilihan
pinjaman	silihan
pinta	jaluk
pintar	pinter
pintu	lawang
pintunya	lawange
pipa	pipo
pipa	selang
pipi	pipi
pipih	gepeng
pipis	nguyuh
piramida	piramida
piring	piring
pisah	pegatan
pisang	gedang
pisang	gedhang
pisau	peso
pisau	piso
pistol	bedil
pit	pit
pita	pita
planet	planet
plastik	kresek
plat	plat
pohon	pokok
pohon	uwet
pohon	wit
poin	biji
pojok	pojok
poker	poker
pokok	pokok
pokok	utomo
pola	pola
polisi	polisi
politisi	politisi
polos	lugu
pompa	pompo
pondasi	pondasi
pondok	gubuk
pondok	mondok
ponsel	ponsel
populasi	populasi
populer	kondang
porno	porno
pos	pos
posisi	posisi
potong	tugel
potongan	tugelan
potret	potret
power	power
prajurit	bolo
prajurit	prajurit
pramugari	pramugari
pramuka	pramuka
predator	predator
preman	preman
presiden	presiden
prestasi	unggulan
pria	lanang
pribadi	pribadi
pribumi	pribumi
primer	utomo
primitif	primitif
privasi	rahasia
produk	produk
produser	produser
profesi	penggaweyan
profesional	ahli
profesor	profesor
program	program
proposal	proposal
prosedur	prosedur
proses	nggarap
protes	demo
protokol	protokol
proyek	garapan
psikologi	psikologi
psikologis	psikologis
psikopat	wong kenthir
puas	marem
puasa	poso
pub	ngeseng
publisitas	ngumumne
pucat	pucet
pucuk	pucuk
puisi	geguritan
pujian	lem
pukul	gebuk
pukul	gepuk
pukulan	gepukan
pulang	bali
pulang	kundur
pulang	mulih
pulang	wangsul
pulangnya	baline
pulangnya	wangsule
pulau	pulau
pulpen	pulpen
puluh	puluh
puluhan	dasan
puluhan	puluan
pulut	getah
pulut	ketan
pun	pun
punah	longko
punah	musno
puncak	pucuk
puncak	puncak
puncaknya	puncak'e
punggung	geger
pungut	jikok
pungut	pungut
punjung	ngenehi
punjung	punjung
punya	ndue
pupuk	pupok
pura	pura
purnama	purnama
purnama	purnomo
pusaka	pusoko
pusat	pancer
pustakawan	pustakawan
putaran	pusingan
putaran	puteran
putera	putro
puteri	putri
putih	puteh
putih	putih
putra	putra
putra	putro
putranya	putrone
putri	putri
putrinya	putrine
putus	pedot
rabu	rebo
racun	racun
racun	wisa
raden	raden
radikal	radikal
radio	radio
radius	radius
raga	awak
raga	rogo
ragamnya	ragame
ragi	ragi
ragu	mamang
rahang	rahang
rahasia	rahasia
rai	muka
raja	rojo
rajab	rejeb
rajin	sregep
rakit	gethek
rakit	loro
raksasa	buto
raksasa	roksoso
rakyat	rakyat
rakyatnya	rakyate
ramadan	romadon
ramadhan	poso
ramah	someh
ramai	rame
rambut	rambut
rambutnya	rambute
rancangan	rancangan
rangka	krangka
rangkaian	rentengan
rangkap	gandeng
rangking	rengking
ranjang	dipan
ranjang	ranjang
ranjau	ranjau
ranking	rengking
ransel	tas
rantai	rante
rantang	rantang
ranting	pang
rapat	patemon
rapat	rapet
rapuh	rimih
rasa	roso
rasakan	rasakno
rasanya	rasane
rata	roto
ratakan	rotoke
ratakan	rotokke
ratanya	rotone
ratu	ratu
ratus	atus
ratusan	atusan
rawa	rawa
rawa	rowo
rawan	ringkih
raya	royo
reaksi	tanggepan
reaktor	reaktor
rebah	ambruk
rebah	turon
rebus	godok
red	abang
redup	mlerit
referensi	referensi
rehabilitasi	rehabilitasi
rekam	rekam
rekaman	rekaman
rekan	kanca
rekan	konco
rekan	rencang
rekannya	koncone
rekening	rekening
rekomendasi	saran
rela	lilo
remaja	enom
renang	ngelangi
rencana	rencono
rencananya	rencanane
rendah	ndek
renovasi	mbenahi
renovasi	ngapii
rentan	ringkih
reporter	reporter
reruntuhan	ambrol
reruntuhan	ambruk
residu	sisoan
resimen	resimen
resminya	resmine
respon	tanggepan
restoran	restoran
reuni	reuni
riang	bungah
riasan	pacak'an
ribu	ewon
ribuan	ewonan
rimba	alas
rimbun	rindang
rindang	rimbun
rindu	kangen
ringan	enteng
rintangan	rintangan
riset	riset
risiko	resiko
riwayat	babad
robot	robot
roda	ban
roda	rudo
roh	nyowo
roh	ruh
roh	sukmo
rokok	udud
rokok	udut
roman	asmara
rombongan	rombongan
rompi	rompi
rongsokan	rosok
roti	roti
ruang	papan
ruangan	panggonan
ruas	ros
rujuk	rujuk
rujukan	rujukan
rumah	dalem
rumah	griya
rumah	omah
rumahnya	omahe
rumit	ruwet
rumor	desas desus
rumor	rumor
rumput	suket
runcing	lancip
runding	rembuk
runtuh	ambruk
rupa	rupo
rupanya	rupone
rusa	kidang
rusak	bobrok
rusaknya	bobrok
rusuk	iga
rusuk	igo
rute	rute
s	s
saatnya	wayahe
sabtu	setu
sabuk	sabuk
sabun	sabun
sahabat	kanca kenthel
sahabat	konco
sahabatnya	kocone
saingan	saingan
saja	wae
saking	sangking
sakit	gerah
sakit	gering
sakit	lara
sakit	loro
saksi	sã©ksi
saku	sak
salad	salad
salah	salah
salam	salim
salem	salem
salju	salju
salon	salon
saluran	ilen-ilen
sam	sam
sama	podo
sambal	sambel
sambar	samber
sambaran	samberan
sambil	nyambi
sambungan	gandengan
sambutan	wejangan
sampah	uwuh
sampai	tekan
sampek	tekan
samping	sanding
samping	sisih
sampingnya	sisihe
sampurna	sempurno
samudera	segoro
samudra	segoro
samurai	samurai
sana	kono
sanalah	konolah
sandaran	lendetan
sandera	sandera
sandi	sandi
sandiwara	drama
sanggup	iso
sangka	nyongko
santa	santa
santai	santai
santan	santen
sapi	lembu
sapi	sapi
sapi	sapi 
sapinya	lembune
sapinya	sapine
sapu	sapu
saran	saran
sarana	serono
sarang	sarang
sarang	susuh
sarangnya	susuhe
sarapan	sarapan
sarjana	sarjana
sarung	sarung
sastra	sastra
satelit	satelit
satu	siji
satunya	sijine
saudara	dulur
saudara	sederek
saudara	sedulur
saudaranya	sedulure
saus	saos
sawah	sabin
sawah	tegal
saya	aku
saya	kulo
sayang	tresno
sayangnya	tresnone
sayap	suwiwi
sayapnya	suwiwine
sayur	sayur
searah	searah
seayah	tunggal bopo
sebab	sebab
sebabnya	sebabe
sebagai	gawe
sebagaimana	sakpiyene
sebagian	sak bagian
sebaik	seapik
sebaiknya	adune
sebaliknya	sewalik'e
sebanyak	se okeh
sebaris	sak baris
sebatang	sak batang
sebelah	sisih
sebelas	sewelas
sebelum	sakdereng
sebelum	sakdurung
sebelumnya	sak durunge
sebenarnya	sak jane
sebenarnya	sak tenan
sebentar	dilit
sebentar	sek
seberang	tengen
seberapa	sepiro
seberat	seabot
sebesar	segede
sebotol	sak botol
sebuah	sak
sebuah	sebuah
sebulan	sewulan
sebut	obo
secepatnya	gek ndang
secukupnya	sak cukupe
sediakan	sediani
sedih	cidro
sedikit	sitik
sedunia	sak dunyo
segala	kabeh
segalanya	sak kabehe
segar	ayem
segar	segar
segaris	sak garis
segera	ndang
segera	segera
segitiga	segitiga
segolongan	sak golongan
sehari	sedino
seharusnya	kudune
seharusnya	semestine
sehat	waras
seiring	sak iring
sejalan	sedalan
sejam	sak jam
sejarah	babad
sejarahnya	sejarahe
sejauh	sak adoh
sejenis	sak jenis
sejuk	adem
sejuk	ayem
sekali	sekali
sekalian	sisan
sekaligus	barengan
sekarang	saiki
sekelas	sak kelas
sekeliling	sak keliling
sekelilingnya	sak kelilinge
sekelompok	sak kelompok
sekitarnya	sekitare
sekolah	sekolah
sekolahnya	sekolahe
sekop	cetok
sekop	serok
sekretaris	sekretaris
seks	jinis
sekumpulan	sak kumpulan
sekumpulan	saklempakan
sel	sel
selam	ndelep
selama	nganti
selamanya	sak lawase
selamat	sugeng
selamatkan	tulungono
selamatlah	mugi selamat
selang	slang
selanjutnya	sak bar e
selasa	seloso
selatan	kidul
selatan	sisih kidul
selebihnya	sak luwihe
selendang	jarek
selepas	sak bare
selera	rasa
selesai	rampung
selesaikan	rampungke
selimut	kemul
selisih	seliseh
selokan	got
selokan	paret
seluas	sak ombo
seluruh	kabeh
seluruhnya	kabehane
semacam	semacam
semak	semak
semalam	sewengi
sembab	bengep
sembarangan	sak-sake
sembilan	songo
sembur	moncrot
semen	semen
sementara	sementara
semesta	jagat
semesta	kabehane
semesta	semesta
semester	semester
semestinya	kudune
seminggu	sak minggu
semisal	umpomo
semoga	mugi
sempat	sempet
sempit	sempit
semprotan	semprotan
sempurna	sampurna
sempurna	sempurno
semua	kabeh
semuanya	kabehane
semula	mulo
semut	semot
semut	semut
senang	bungah
senang	seneng
senat	senat
sendiri	dewe
sendirian	dewean
sendirian	ijenan
sendirinya	karepe dewe
sengaja	sengojo
sengatan	entupan
sengsara	sara
sengsara	sengsoro
seni	seni
senilai	sak nilai
senin	senen
seninya	seni ne
senior	senior
senja	gaman
senja	sore
senjata	gaman
senjata	pusaka
sensasi	rasa
sensor	sensor
senter	sokle
sentuh	demek
senyawa	senyawa
senyum	esem
senyum	mesem
senyum	ngguyu
senyuman	eseman
senyuman	ngguyu
seorang	sak uwong
sepak	tendang
sepakbola	bal-balan
sepangkat	sak pangkat
sepanjang	sak dowo
separuh	separo
sepasang	sak pasang
sepatu	sepatu
sepeda	onthel
sepeda	pit
sepenuhnya	sekabehane
seperempat	seprapat
seperti	koyo
sepertinya	koyone
sepiring	sak piring
sepotong	sakcuil
sepulang	sakbali
sepuluh	sepuloh
seragam	seragam
serangan	anggempur
serangga	serangga
serat	serat
seratus	satus
sereal	sereal
serentak	bebarengan
seribu	sewu
serigala	serigala
serikat	serikat
sering	kerep
serius	tenanan
serpihan	pecahan
sersan	prajurit
serum	serum
serupa	podo
serupa	serupo
sesajian	sesajen
sesak	sesek
sesorang	uwong
sesungguhnya	sakjane
setan	demit
setan	memedi
setara	podo
setebal	sekandel
setelah	bar
setelahnya	sak bar'e
setengah	separo
seterusnya	sak teruse
setiap	mben
setidaknya	sak orane
setim	sak tim
setinggi	seduwur
setingkat	sak tingkat
setuju	setuju
setumpuk	setumpok
seumpama	umpomo
seumur	sak umur
seusai	bar
sewa	sewo
sewaktu	sewayah
sial	apes
sialan	sialan
siang	awan
siap	cepak
siap	rampung
siapa	sopo
siapapun	sapa wae
siapapun	sopowae
siapkan	siapke
siaran	siaran
sibusuk	sibosok
sidang	sidang
sifatnya	sifate
sihir	aji-aji
sikat	kosokan
siklus	siklus
siku	sikut
silahkan	monggo
silver	perak
simbol	simbol
simpan	simpen
simpanan	simpenan
simulasi	simulasi
sinar	sinar
sinetron	pilem
singa	singo
singgah	mampir
singkatnya	singkate
sini	rene
sinyal	sinyal
sinyal	tandha
sipir	sipir
siput	kecot
siram	guyur
sirkuit	sirkuit
sisa	luwihan
sisa	turah
sisanya	turahane
sisi	pinggir
sisi	sanding
sisi	sisih
sisik	sisek
sisinya	sandinge
sistem	sistem
siswa	siswo
siswi	siswi
situ	kono
situs	situs
skema	skema
skenario	skenario
sketsa	sketsa
ski	ski
soal	soal
sobat	kanca kentel
sobat	konco
sobek	suwek
solo	solo
sonar	sonar
sop	sop
sopir	sopir
sopir	super
sorak	nyorak
sore	dalu
sorong	surong
sosial	sosial
sosis	sosis
sosok	lakon
sosok	sosok
sperma	pejuh
spesialis	spesialis
sponsor	sponsor
stadion	lapangan
standar	standar
star	lintang
stasiun	stasiun
statistik	statistik
status	status
statusnya	statuse
stop	mandeg
strip	garis
studi	studi
suami	bojo
suami	garwa
suami	simah
suaminya	bojone
suap	dulang
suara	suoro
suaranya	suorone
suasana	kawontenan
subuh	subuh
sudah	uwes
sudut	pojok
sudut	pojokan
sugih	sugeh
suhu	hawa
suhu	suhu
suka	seneng
sukai	senengi
sukarelawan	sukarelawan
suku	suku
sulap	sulap
sulit	angel
sulitnya	angele
sultan	sultan
sulung	mbarep
sumbangan	sumbangan
sumber	sumber
sumpah	sumpah
sumur	sumur
sunat	sunat
sungai	kali
sungguh	tenanan
suntik	suntek
suntikan	suntikan
sunting	pinang
sup	sop
supaya	ben
surat	layang
suratnya	layange
surga	suwargo
surga	swarga
suruh	kon
surya	srengenge
susah	angel
suster	suster
susu	susu
susun	suson
susunan	tatanan
sutra	sutra
syahadat	sahadat
syaitan	dhemit
syaitan	setan
syaraf	syaraf
syarat	syarat
syukur	sukur
syukur	syukur
syukuran	sukuran
taat	nurut
tablet	pil
tabrakan	tubrukan
tabrakan	tumburan
tabung	drem
tabungan	celengan
taburi	nyebari
tadah	enggon
tadi	mau
tagihan	tagihan
tahan	tahan
tahanan	tahanan
tahi	tai
tahi	telek
tahu	tahu
tahun	taun
tahun	warsa
tahunnya	taune
tai	telek
tai	tembelek
tajam	landep
tak	ora
takbir	takbir
takdir	takdir
takdir	tekdir
takhta	takhta
takkan	ora bakal
takkan	ora mungkin
taksi	taksi
takut	wedi
talam	ketan
talam	tampah
talas	kentoreng
talas	tales
tali	tali
taman	kebun
taman	konco
tambahan	tambahan
tambang	tambang
tampak	ketok
tampaknya	ketok e
tampaknya	ketokane
tampan	bagus
tampan	ngganteng
tampang	rai
tampang	rupo
tamparan	kaplokan
tamparan	tapok
tamparan	tapokan
tampil	nongol
tamu	tamu
tanah	lemah
tanahnya	lemahe
tanam	nandur
tanaman	tanduran
tanaman	taneman
tanda	tanda
tanda	tondo
tanduk	sungu
tang	tang
tangan	asta
tangan	tangan
tangannya	tangane
tangga	andha
tangga	tonggo
tanggal	tanggal
tangganya	tanggane
tanggap	tanggep
tanggapan	tanggepan
tanggul	tanggul
tanggung	tanggung
tangisan	nangisan
tangkai	gagang
tangkap	cekel
tangkap	tangkep
tangki	teng
tank	tangki
tank	tank
tanpa	tanpa
tanpa	tanpo
tantangan	tantangan
tanya	takon
tapai	tape
tapak	tlapak
tapi	neng
target	sasaran
tari	joget
tarian	jogedan
tarian	jogetan
tarik	tarek
tarikat	teriket
taruhan	totohan
tas	tas
tata	toto
tato	tato
tau	weruh
tawa	cekakakan
tawa	ngguyu
tawar	towo
tawaran	awisan
tayangan	tayangan
team	konco
tebakan	bedekan
tebal	kandel
tebu	tebu
tegaknya	jejege
tegap	jejeg
tegas	teges
teh	teh
tekanan	peksanan
teknik	teknik
teknologi	teknologi
tekun	sregep
teladan	teladan
telah	uwes 
telanjang	wudo
telapak	telapak
telefon	telepon
telepon	telpon
teleskop	teleskop
televisi	tivi
telinga	kuping
telor	endok
telor	telor
telpon	ngebel
telpon	telpon
telur	endduge
telur	ndog
telurnya	endduge
tema	judol
tema	tema
teman	kanca
teman	konco
temannya	koncone
tembaga	tembogo
tembak	bedil
tembak	nembak
tembakan	bedhilan
tembakan	tembakan
tembakau	bako
tembakau	tembako
tembang	nyayian
tembang	tembang
tembok	tembok
tembus	tembus
temen	konco
tempat	nggon
tempat	panggon
tempatnya	nggone
tempatnya	panggone
tempe	tempe
tempo	tempo
tempur	tempur
tempurung	batok
temuan	pethuk'an
temui	pethuk'i
temukan	nemukno
temurun	medun
ten	sepuluh
tenaga	daya
tenaga	tenogo
tenang	tenang
tenanglah	tenangno
tenar	kondang
tengah	tengah
tengahnya	tengahe
tenggara	kidul wetan
tenggara	tenggara
tenis	tenis
tentara	tentara
tenteram	tentrem
tentu	mesti
tentunya	mestine
teori	teori
tepi	pinggir
tepian	pingiran
tepuk	tepuk
tepung	glepung
tepung	tepung
terakhir	keri
terakhir	pungkasan
terakhir	wekasan
terang	padang
teras	teras
terasa	keroso
teratas	paling duwur
terbaca	kewoco
terbagi	kebagi
terbagus	paling apik
terbaik	paling apik
terbakar	kebakar
terbalik	kebalik
terbang	mabur
terbang	mebur
terbang	miber
terbangun	ngelilir
terbanyak	paling okeh
terbawa	katut
terbawah	paling ngisor
terbayang	kelingan
terbenam	mindlep
terbentang	gelar
terbentuk	kebentuk
terbesar	paling gede
terbit	muncul
terbit	nungul
terbuat	seko
terbuka	kebuka
terbunuh	di pateni
tercampur	kecampur
tercatat	kecatet
tercuci	kekumbah
terdahulu	suwi
terdapat	eneng
terdekat	cerak
terdengar	krungu
terendah	paling cetek
terendam	kelelep
terendam	kelep
tergabung	melu
tergantung	kegantung
tergolong	termasok
tergores	beset
terhadap	kanggo
terhalang	ke alang
terhenti	mandek
terhimpun	nglumpuk
teri	teri
terigu	tepung
terikat	ketalen
terima	tompo
terimakasih	matur nuwun
teringat	kelingan
terjadi	daden
terjadi	dadi
terjadilah	dadilah
terjadinya	kedaden
terjaga	melek
terjangkau	kecandak
terjangkau	nyandak
terjatuh	nibo
terjebak	keposong
terjemahannya	artine
terjerat	ke jerat
terjual	ke dol
terjun	nyemplung
terkadang	kadang
terkaya	tersugeh
terkecil	paling cilik
terkejut	kaget
terkemuka	kondang
terkenal	kondang
terkenal	pamor
terkesan	kesemsem
terkini	paling anyar
terkumpul	kekumpul
terkurung	kekurung
terlambat	keri
terlampau	kadung
terlanjur	kadung
terlepas	ucul
terlibat	melu-melu
terlihat	ketok
terlilit	kejiret
terlilit	kelilit
terluas	paling ombo
terluka	cidro
termahal	paling larang
termakan	ke emplok
termasuk	termasuk
termasyhur	kondang
terminal	terminal
termuda	enom
ternak	ingon
ternama	kondang
ternyata	jebule
terompet	trompet
teror	serangan
teroris	teroris
terorisme	terorisme
terowongan	trowongan
terpadat	paling rapet
terpakai	kanggo
terpaksa	kepekso
terpanjang	paling dowo
terpantau	kedelok
terpendek	paling ndek
terpengaruh	ketularan
terpercaya	terpercoyo
terpikat	kesemsem
terpikir	kepikiran
terpilih	kepilih
terpisah	kepisah
terpisahkan	kepisah
terpotong	kepedot
terpusat	dadisiji
terputus	keputus
tersambung	nyambung
tersangkut	kesangkut
tersebar	kesebar
tersendiri	dewean
terserah	karepe
tersimpan	kesimpen
tersinggung	kesinggung
tersisa	kesiso
tersisih	kesiseh
tersusun	kesusun
tertampung	ketampon
tertangkap	ketangkap
tertarik	kesemsem
tertawa	ngguyu
tertib	urut
tertingginya	paling duwure
tertua	paling tuek
tertua	sesepuh
tertuang	ke sok
tertulis	tertulis
tertusuk	ketujep
tertutup	ketutup
teruntuk	kanggo
terutama	utomo
tes	tes
tetangga	pepadha
tetangga	tangga
tetangga	tonggo
tetangganya	tonggone
tetap	panggah
tetap	tetap
tetapi	neng
tetaplah	panggah
tewas	ninggal
tiada	raono
tiang	cagak
tiangnya	cagake
tiap	amben
tiap	mben
tiarap	ndlosor
tiba	dateng
tiba	dugi
tiba	teka
tiba	teko
tibanya	tekone
tidak	ora
tidakkah	orapo
tidaklah	oralah
tidur	sare
tidur	tilem
tidur	turu
tiga	telu
tigabelas	telulas
tikar	kloso
tiket	tiket
tikungan	enggokan
tikungan	tikungan
tikus	tikus
tim	tim
timbul	timbul
timnya	bolone
timpa	tiban
timur	wetan
tindak	polah
tindakan	polahe
tindakan	tumindak
tindakannya	tumindake
tindih	temumpang
tinggal	manggon
tinggalkan	tinggalke
tinggalkan	tinggalno
tinggalnya	manggone
tinggi	duwur
tingginya	duwure
tingkah	polah
tingkat	inggil
tingkat	ndhuwur
tinju	tinju
tinju	tunjek
tinta	tinta
tipe	model
tipis	tipis
tirai	gorden
tirai	kelambu
tirinya	tirine
tisu	tisu
titi	titi
titian	titian
titik	titik
tiup	damu
tiup	sebul
toilet	jamban
toilet	jedhing
toko	toko
tokoh	lakon
tokohnya	lakone
tokok	tutok
tol	tol
tolong	tulung
tolonglah	tulungono
tomat	tomat
tombol	pencetan
tombol	tombol
tong	genuk
tong	tong
tonggak	tunggak
tonggak	tunggul
tongkat	kelet
tongkat	penthung
tontonan	delokan
top	nduwur
topeng	topeng
topi	kupluk
topi	topi
topik	omongan
tornado	tornado
torpedo	torpedo
total	sedoyo
total	total
tradisi	tradisi
tradisional	tradisional
tragedi	tragedi
transaksi	transaksi
transparan	bening
transplantasi	transplantasi
trik	coro
trio	telon
trotoar	trotoar
truk	trek
truk	truk
tsunami	tsunami
tua	sepuh
tua	tuo
tuan	kanjeng
tuan	ndoro
tuanku	ndoroku
tuanya	tuone
tubuh	awak
tubuhnya	awake
tuduh	tuduh
tuduhan	dugaan
tugas	garapan
tugas	titah
tugasnya	titahe
tuhan	gusti
tujuan	arahe
tujuan	tujuan
tujuannya	tujuane
tujuh	pitu
tukang	kuli
tulang	balung
tulang	belung
tulis	nulis
tulisan	seratan
tulisan	tulisan
tulisannya	tulisane
tulung	tulong
tumbang	ambruk
tumbuh	pokok
tumbuh	wet
tumbuhan	tanduran
tumbuhan	wit-witan
tumit	tungkak
tumpah	wutah
tumpang	temumpang
tumpang	tumumpang
tumpengan	tumpengan
tumpuan	sangganan
tumpukan	tumpukan
tumpul	bujel
tumpul	kethul
tuna	tuna
tunangan	mantu
tunangannya	tunangane
tunas	toh
tunduk	sungkem
tunggal	siji
tunggu	enteni
tunggul	tunggol
tungku	tungku
tunjang	sepakan
tunjangan	sepakan
tunjangan	tunjangan
tunjuk	ndudingi
tunjukkan	duduhke
tuntutan	tuntutan
tupai	bajing
tur	nglencer
turun	medun
turun	ndronjong
turunan	dronjongan
turunan	medunan
turunkan	dunke
turunnya	medune
turut	melu
tusuk	tujep
tusukan	tujepan
tutup	tutop
tutup	tutup
tutur	tutor
tuturan	tuturan
uang	dhuwit
uang	duet
uangnya	duite
uap	umup
ubi	telo
ucapan	kondo
ucapan	ucapan
udang	urang
udara	hawa
udaranya	hawane
uji	uji
ujian	pacoban
ujian	ujian
ujung	mentok
ujung	ujong
ujungnya	ujunge
ukiran	ukiran
ukirannya	ukirane
ukur	ukor
ukuran	ukuran
ukurannya	ukurane
ulah	ngulah
ulama	ngulama
ulang	bola bali
ulang	ulang
ular	ula
ular	ulo
ulet	sregep
um	um
umat	umat
umpama	umpomo
umpamanya	umpomone
umpan	pakan
umpan	umpan
umum	umum
umumnya	umume
umur	umur
umurnya	umure
undang	ngundang
undangan	undangan
unggul	unggol
ungkap	ngungkap
ungkapan	tuturan
ungkapan	ungkapan
ungu	ungu
unik	unek
unit	buah
unsur	unsur
unta	onta
untuk	kanggo
untuk	nggo
untukku	kanggo aku
untuknya	kanggone
untuknya	nggone
untung	bejo
upacara	upacara
upacara	upocoro
upah	gaji
upah	opah
upaya	upoyo
upayanya	upoyone
urat	urat
urus	uros
urusan	urusan
urut	urot
urutan	urutan
usah	rasah
usaha	usaha
usaha	usoho
usahanya	usohone
usai	rampung
usang	burik
usang	elek
usia	umur
usia	usia
usianya	umure
uskup	uskup
ustad	ustad
usul	usul
usus	usus
utama	utomo
utamanya	utomone
utara	lor
utuh	utuh
utusan	caraka
utusan	kongkonan
vagina	itel
vagina	memek
vagina	turok
vampir	drakula
variasi	macem
variasinya	maceme
vertikal	jejeg
veteran	veteran
via	nggo
video	video
virgin	prawan
visi	visi
vital	vital
vitamin	vitamin
vokal	suoro
volume	volume
wabah	pagebluk
wabah	wabah
wacana	wacono
wadah	adah
wadah	enggon
wafat	ninggal
wafatnya	ninggale
wahid	siji
wahyu	wahyu
wajah	rai
wajah	rupo
wajahnya	rupone
